date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-10-03,BUY,LLY,28,312.61,8753.01,,,91246.99
2022-10-03,BUY,VRTX,30,297.43,8922.9,,,82324.09
2022-10-03,BUY,COP,91,97.97,8915.29,,,73408.8
2022-10-03,BUY,UNH,18,482.76,8689.75,,,64719.05
2022-10-03,BUY,XOM,110,81.7,8987.4,,,55731.65
2022-10-03,BUY,CVX,68,131.45,8938.63,,,46793.02
2022-10-03,BUY,SLB,255,35.2,8975.44,,,37817.58
2022-10-03,BUY,OXY,148,60.54,8960.32,,,28857.25
2022-10-03,BUY,ON,138,64.79,8941.02,,,19916.23
2022-10-03,BUY,SO,146,61.38,8961.63,,,10954.61
2022-10-07,SELL,SO,146,56.44,8240.64,-720.99,-8.05,19195.24
2022-10-12,BUY,PEP,127,151.12,19192.42,,,2.83
2022-10-31,SELL,ON,138,61.43,8477.34,-463.68,-5.19,8480.17
2022-11-01,BUY,PFE,215,39.36,8461.98,,,18.19
2022-11-01,SELL,OXY,148,69.75,10322.7,1362.37,15.2,10340.89
2022-11-01,SELL,PFE,215,39.36,8461.98,0.0,0.0,18802.86
2022-11-01,BUY,ABBV,29,130.57,3786.62,,,15016.25
2022-11-01,BUY,REGN,5,754.81,3774.05,,,11242.2
2022-12-01,SELL,LLY,28,361.04,10108.98,1355.97,15.49,21351.18
2022-12-01,SELL,COP,91,110.05,10014.63,1099.34,12.33,31365.81
2022-12-01,SELL,SLB,255,47.57,12129.73,3154.29,35.14,43495.54
2022-12-01,SELL,PEP,127,166.89,21194.43,2002.02,10.43,64689.97
2022-12-01,SELL,ABBV,29,143.66,4166.02,379.41,10.02,68856.0
2022-12-01,BUY,MRK,116,98.81,11462.52,,,57393.48
2022-12-01,BUY,OXY,177,65.02,11508.98,,,45884.5
2022-12-01,BUY,WMT,234,49.0,11466.33,,,34418.17
2022-12-01,BUY,AMGN,44,258.01,11352.5,,,23065.67
2022-12-01,BUY,TMUS,78,145.96,11385.09,,,11680.58
2022-12-09,SELL,WMT,234,46.6,10904.7,-561.63,-4.9,22585.28
2022-12-09,SELL,TMUS,78,136.12,10617.13,-767.96,-6.75,33202.41
2022-12-13,BUY,MRNA,84,197.54,16593.36,,,16609.05
2022-12-14,SELL,AMGN,44,244.65,10764.51,-587.99,-5.18,27373.56
2022-12-16,SELL,OXY,177,59.22,10481.51,-1027.47,-8.93,37855.07
2022-12-20,BUY,NKE,129,97.23,12542.67,,,25312.41
2022-12-27,SELL,REGN,5,706.58,3532.88,-241.17,-6.39,28845.29
2023-01-02,SELL,UNH,18,498.03,8964.59,274.84,3.16,37809.88
2023-01-02,SELL,MRNA,84,179.62,15088.08,-1505.28,-9.07,52897.96
2023-01-02,SELL,NKE,129,110.23,14219.72,1677.06,13.37,67117.68
2023-01-02,BUY,SLB,219,49.3,10796.21,,,56321.47
2023-01-02,BUY,COP,101,106.18,10724.6,,,45596.87
2023-01-02,BUY,LMT,24,446.0,10703.93,,,34892.94
2023-01-02,BUY,DE,26,411.15,10689.93,,,24203.0
2023-01-02,BUY,LLY,30,356.66,10699.73,,,13503.27
2023-01-02,BUY,ABBV,75,143.64,10772.87,,,2730.4
2023-01-09,SELL,LMT,24,420.79,10098.87,-605.06,-5.65,12829.27
2023-01-12,SELL,ABBV,75,136.58,10243.39,-529.48,-4.91,23072.66
2023-01-13,BUY,JPM,86,133.2,11455.22,,,11617.44
2023-01-13,BUY,BAC,358,32.38,11592.42,,,25.02
2023-01-19,SELL,JPM,86,125.51,10793.59,-661.63,-5.78,10818.62
2023-01-19,SELL,BAC,358,30.54,10934.32,-658.1,-5.68,21752.94
2023-01-20,SELL,LLY,30,337.38,10121.52,-578.21,-5.4,31874.45
2023-01-20,BUY,NFLX,310,34.25,10617.5,,,21256.95
2023-01-24,BUY,JNJ,69,152.82,10544.91,,,10712.05
2023-01-25,BUY,TSLA,74,144.43,10687.82,,,24.23
2023-02-01,SELL,CVX,68,149.61,10173.15,1234.52,13.81,10197.38
2023-02-01,SELL,MRK,116,96.91,11242.12,-220.4,-1.92,21439.5
2023-02-01,SELL,NFLX,310,36.2,11221.69,604.19,5.69,32661.19
2023-02-01,SELL,JNJ,69,149.75,10332.52,-212.39,-2.01,42993.71
2023-02-01,SELL,TSLA,74,181.41,13424.34,2736.52,25.6,56418.05
2023-02-01,BUY,LMT,25,423.77,10594.37,,,45823.68
2023-02-01,BUY,TMUS,74,145.16,10741.47,,,35082.2
2023-02-01,BUY,REGN,14,752.91,10540.79,,,24541.41
2023-02-01,BUY,V,48,225.28,10813.21,,,13728.2
2023-02-01,BUY,UNH,23,466.86,10737.88,,,2990.32
2023-02-03,SELL,COP,101,97.28,9825.73,-898.87,-8.38,12816.05
2023-02-03,BUY,LLY,38,330.57,12561.64,,,254.41
2023-02-06,SELL,TMUS,74,136.5,10101.13,-640.35,-5.96,10355.54
2023-02-08,BUY,DIS,94,109.21,10265.57,,,89.97
2023-02-16,SELL,DE,26,386.41,10046.68,-643.25,-6.02,10136.65
2023-02-16,BUY,SO,173,58.59,10135.73,,,0.92
2023-02-21,SELL,DIS,94,99.74,9375.67,-889.9,-8.67,9376.58
2023-02-21,BUY,WMT,198,47.25,9355.32,,,21.27
2023-02-22,SELL,V,48,215.08,10323.87,-489.34,-4.53,10345.14
2023-02-22,BUY,NVDA,498,20.73,10324.6,,,20.54
2023-02-28,SELL,LLY,38,304.39,11566.83,-994.8,-7.92,11587.37
2023-03-01,SELL,WMT,198,44.95,8899.4,-455.92,-4.87,20486.77
2023-03-01,BUY,CRM,61,165.34,10085.8,,,10400.97
2023-03-07,SELL,UNH,23,445.15,10238.36,-499.52,-4.65,20639.33
