date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,WMT,110,88.96,9786.05,,,90213.95
2025-01-02,BUY,COST,10,903.85,9038.52,,,81175.43
2025-01-02,BUY,MA,18,518.64,9335.46,,,71839.97
2025-01-02,BUY,RTX,86,113.51,9761.83,,,62078.13
2025-01-02,BUY,SO,124,78.79,9770.41,,,52307.72
2025-01-02,BUY,FIS,126,77.64,9782.99,,,42524.73
2025-01-02,BUY,V,31,311.54,9657.75,,,32866.98
2025-01-02,BUY,DE,23,412.54,9488.33,,,23378.65
2025-01-02,BUY,MCD,34,284.25,9664.67,,,13713.98
2025-01-02,BUY,D,190,51.38,9761.59,,,3952.39
2025-01-10,SELL,MA,18,501.77,9031.91,-303.55,-3.25,12984.3
2025-01-10,SELL,FIS,126,74.77,9421.43,-361.56,-3.7,22405.73
2025-01-10,SELL,MCD,34,274.34,9327.65,-337.01,-3.49,31733.39
2025-01-13,SELL,V,31,304.13,9427.98,-229.77,-2.38,41161.37
2025-01-15,BUY,JPM,41,247.28,10138.46,,,31022.9
2025-01-16,BUY,BAC,228,45.33,10334.78,,,20688.12
2025-01-31,BUY,XOM,101,102.37,10338.93,,,10349.19
2025-02-03,SELL,RTX,86,127.12,10932.31,1170.48,11.99,21281.5
2025-02-03,SELL,SO,124,80.62,9996.61,226.2,2.32,31278.1
2025-02-03,SELL,DE,23,460.75,10597.17,1108.84,11.69,41875.27
2025-02-03,SELL,D,190,53.19,10106.11,344.53,3.53,51981.39
2025-02-03,SELL,XOM,101,102.61,10364.1,25.16,0.24,62345.49
2025-02-03,BUY,V,29,342.67,9937.56,,,52407.93
2025-02-03,BUY,MCD,35,281.86,9865.25,,,42542.67
2025-02-03,BUY,MA,17,560.71,9532.11,,,33010.56
2025-02-03,BUY,PG,61,164.25,10019.4,,,22991.16
2025-02-03,BUY,META,14,694.67,9725.42,,,13265.74
2025-02-03,BUY,HON,49,204.13,10002.4,,,3263.34
2025-02-06,SELL,HON,49,192.58,9436.2,-566.21,-5.66,12699.53
2025-02-06,BUY,AMZN,53,238.83,12657.99,,,41.54
2025-02-07,SELL,AMZN,53,229.15,12144.95,-513.04,-4.05,12186.49
2025-02-07,BUY,PFE,507,24.0,12167.02,,,19.48
2025-02-14,SELL,PG,61,158.54,9670.89,-348.51,-3.48,9690.37
2025-02-20,SELL,BAC,228,44.03,10037.86,-296.93,-2.87,19728.23
2025-02-25,SELL,META,14,654.87,9168.21,-557.2,-5.73,28896.44
2025-03-03,SELL,WMT,110,96.47,10611.34,825.29,8.43,39507.78
2025-03-03,SELL,MCD,35,297.41,10409.34,544.09,5.52,49917.13
2025-03-03,SELL,PFE,507,24.47,12408.09,241.07,1.98,62325.21
2025-03-03,BUY,KO,143,69.77,9976.79,,,52348.43
2025-03-03,BUY,HON,51,195.64,9977.44,,,42370.99
2025-03-03,BUY,DIS,90,111.56,10040.07,,,32330.92
2025-03-03,BUY,RTX,76,131.61,10002.23,,,22328.69
2025-03-03,BUY,PG,58,170.9,9912.2,,,12416.49
2025-03-03,BUY,META,15,652.43,9786.48,,,2630.0
2025-03-04,SELL,KO,143,67.71,9682.95,-293.84,-2.95,12312.95
2025-03-04,SELL,RTX,76,126.56,9618.83,-383.41,-3.83,21931.77
2025-03-06,SELL,MA,17,546.66,9293.28,-238.83,-2.51,31225.06
2025-03-06,SELL,DIS,90,104.28,9384.91,-655.15,-6.53,40609.97
2025-03-07,SELL,JPM,41,237.41,9733.89,-404.57,-3.99,50343.86
2025-03-10,SELL,META,15,595.6,8934.01,-852.48,-8.71,59277.86
2025-03-11,SELL,V,29,329.67,9560.51,-377.05,-3.79,68838.37
2025-03-12,SELL,PG,58,163.87,9504.63,-407.57,-4.11,78343.0
2025-04-01,SELL,COST,10,949.2,9491.98,453.46,5.02,87834.98
2025-04-01,BUY,V,25,343.78,8594.43,,,79240.55
2025-04-01,BUY,MCD,28,306.54,8583.08,,,70657.47
2025-04-01,BUY,MA,15,545.36,8180.42,,,62477.05
2025-04-01,BUY,SO,97,88.9,8623.53,,,53853.53
2025-04-01,BUY,CVX,53,161.25,8546.42,,,45307.1
2025-04-01,BUY,XOM,75,115.09,8631.43,,,36675.67
2025-04-01,BUY,PG,52,166.0,8632.23,,,28043.44
2025-04-01,BUY,RTX,66,130.64,8622.55,,,19420.9
2025-04-01,BUY,KO,124,69.85,8660.81,,,10760.08
2025-04-03,SELL,MA,15,527.5,7912.56,-267.85,-3.27,18672.65
2025-04-03,SELL,CVX,53,149.4,7918.03,-628.39,-7.35,26590.68
2025-04-03,SELL,XOM,75,108.7,8152.15,-479.28,-5.55,34742.83
2025-04-04,SELL,HON,51,176.23,8987.79,-989.65,-9.92,43730.62
2025-04-04,SELL,V,25,310.8,7770.1,-824.33,-9.59,51500.72
2025-04-04,SELL,MCD,28,293.32,8213.08,-370.0,-4.31,59713.79
2025-04-04,SELL,SO,97,86.11,8353.04,-270.48,-3.14,68066.84
2025-04-04,SELL,PG,52,159.38,8287.57,-344.66,-3.99,76354.41
2025-04-04,SELL,RTX,66,115.5,7623.02,-999.53,-11.59,83977.42
2025-04-07,SELL,KO,124,66.44,8239.04,-421.77,-4.87,92216.47
2025-05-01,BUY,SO,93,88.55,8235.5,,,83980.96
2025-05-01,BUY,MCD,27,306.55,8276.81,,,75704.16
2025-05-01,BUY,KO,119,69.28,8244.51,,,67459.65
2025-05-01,BUY,JNJ,55,150.27,8265.02,,,59194.63
2025-05-01,BUY,MSFT,19,422.17,8021.19,,,51173.43
2025-05-01,BUY,D,158,52.4,8279.62,,,42893.81
2025-05-01,BUY,VRTX,16,498.86,7981.76,,,34912.05
2025-05-01,BUY,V,24,339.91,8157.75,,,26754.31
2025-05-01,BUY,COST,8,993.59,7948.76,,,18805.55
2025-05-01,BUY,MA,15,544.35,8165.31,,,10640.24
2025-05-06,SELL,VRTX,16,450.03,7200.48,-781.28,-9.79,17840.72
2025-05-12,SELL,SO,93,84.99,7904.14,-331.36,-4.02,25744.86
2025-05-13,SELL,KO,119,67.02,7975.05,-269.46,-3.27,33719.91
2025-05-13,SELL,JNJ,55,144.42,7942.9,-322.13,-3.9,41662.81
2025-06-02,SELL,COST,8,1052.46,8419.67,470.91,5.92,50082.48
2025-06-02,SELL,MA,15,578.8,8682.0,516.69,6.33,58764.48
2025-06-02,BUY,PG,57,164.32,9366.04,,,49398.44
2025-06-02,BUY,KO,135,69.97,9446.17,,,39952.27
2025-06-02,BUY,SO,107,87.81,9396.16,,,30556.1
2025-06-02,BUY,DE,18,502.74,9049.26,,,21506.85
2025-06-02,BUY,JNJ,62,152.48,9453.99,,,12052.86
2025-06-02,BUY,HON,45,209.16,9412.02,,,2640.83
2025-06-05,SELL,PG,57,159.44,9088.04,-278.0,-2.97,11728.88
2025-06-09,SELL,MCD,27,299.58,8088.61,-188.19,-2.27,19817.49
2025-06-17,SELL,KO,135,68.14,9198.86,-247.31,-2.62,29016.35
2025-06-18,SELL,JNJ,62,147.9,9169.88,-284.11,-3.01,38186.23
2025-07-01,SELL,MSFT,19,489.21,9294.95,1273.76,15.88,47481.19
2025-07-01,SELL,HON,45,221.44,9965.01,552.99,5.88,57446.2
2025-07-01,BUY,JNJ,60,152.99,9179.64,,,48266.56
2025-07-01,BUY,KO,132,70.15,9259.29,,,39007.27
2025-07-01,BUY,COST,9,981.86,8836.77,,,30170.5
2025-07-01,BUY,MA,16,562.26,8996.15,,,21174.35
2025-07-01,BUY,WMT,94,97.61,9175.47,,,11998.88
2025-07-01,BUY,MCD,31,292.41,9064.79,,,2934.09
2025-07-08,SELL,KO,132,68.75,9074.54,-184.75,-2.0,12008.63
2025-07-10,SELL,WMT,94,94.25,8859.78,-315.69,-3.44,20868.41
2025-07-15,BUY,JPM,36,283.88,10219.79,,,10648.62
2025-07-16,SELL,COST,9,947.42,8526.76,-310.02,-3.51,19175.38
2025-07-16,BUY,GS,13,697.89,9072.63,,,10102.75
2025-07-16,BUY,MS,73,137.23,10017.72,,,85.03
2025-08-01,SELL,V,24,337.39,8097.33,-60.42,-0.74,8182.35
2025-08-01,SELL,DE,18,497.52,8955.28,-93.98,-1.04,17137.63
2025-08-01,SELL,MA,16,558.31,8933.01,-63.13,-0.7,26070.65
2025-08-01,SELL,GS,13,698.63,9082.23,9.6,0.11,35152.88
2025-08-01,BUY,MSFT,15,521.08,7816.24,,,27336.63
2025-08-01,BUY,KO,123,67.4,8289.69,,,19046.94
2025-08-01,BUY,WFC,108,76.55,8266.87,,,10780.07
2025-08-01,BUY,WMT,85,97.86,8318.08,,,2461.99
2025-08-20,SELL,MSFT,15,502.8,7541.99,-274.26,-3.51,10003.98
2025-08-21,SELL,WMT,85,97.56,8292.64,-25.44,-0.31,18296.62
2025-09-01,SELL,JPM,36,298.61,10750.13,530.34,5.19,29046.75
2025-09-01,SELL,MS,73,148.75,10858.71,840.99,8.4,39905.46
2025-09-01,SELL,WFC,108,81.35,8785.84,518.97,6.28,48691.3
2025-09-01,BUY,RTX,59,157.45,9289.71,,,39401.59
2025-09-01,BUY,MSFT,18,504.59,9082.65,,,30318.94
2025-09-01,BUY,PFE,390,23.93,9332.97,,,20985.97
2025-09-01,BUY,DIS,79,117.58,9289.17,,,11696.8
2025-09-01,BUY,GOOGL,44,212.43,9346.97,,,2349.83
2025-09-05,SELL,MSFT,18,492.95,8873.1,-209.55,-2.31,11222.93
2025-09-08,SELL,KO,123,66.0,8117.54,-172.15,-2.08,19340.47
2025-09-08,SELL,RTX,59,153.1,9033.16,-256.55,-2.76,28373.63
2025-09-12,SELL,PFE,390,23.07,8997.5,-335.47,-3.59,37371.12
2025-09-16,SELL,DIS,79,114.46,9041.99,-247.18,-2.66,46413.12
2025-09-30,BUY,NKE,134,68.83,9223.33,,,37189.79
2025-10-01,SELL,GOOGL,44,244.57,10760.98,1414.01,15.13,47950.77
2025-10-01,SELL,NKE,134,73.24,9814.58,591.25,6.41,57765.35
2025-10-01,BUY,MSFT,17,517.56,8798.48,,,48966.87
2025-10-01,BUY,MA,16,572.15,9154.47,,,39812.4
2025-10-01,BUY,V,26,346.43,9007.13,,,30805.28
