date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,AVGO,42,229.42,9635.69,,,90364.31
2025-01-02,BUY,MMM,77,126.73,9758.06,,,80606.25
2025-01-02,BUY,GE,58,167.39,9708.67,,,70897.58
2025-01-02,BUY,RTX,86,113.51,9761.83,,,61135.75
2025-01-02,BUY,NVDA,70,138.26,9678.53,,,51457.22
2025-01-02,BUY,PLTR,130,75.19,9774.7,,,41682.52
2025-01-02,BUY,JPM,41,233.97,9592.75,,,32089.77
2025-01-02,BUY,WMT,110,88.96,9786.05,,,22303.72
2025-01-02,BUY,META,16,596.85,9549.53,,,12754.19
2025-01-02,BUY,AXP,33,294.6,9721.64,,,3032.56
2025-01-27,SELL,AVGO,42,199.9,8395.82,-1239.87,-12.87,11428.38
2025-01-27,SELL,NVDA,70,118.38,8286.68,-1391.84,-14.38,19715.07
2025-01-28,BUY,CRWD,24,408.68,9808.32,,,9906.75
2025-01-29,BUY,SBUX,47,105.09,4939.42,,,4967.32
2025-02-03,SELL,MMM,77,146.6,11288.35,1530.29,15.68,16255.67
2025-02-03,SELL,GE,58,202.66,11754.18,2045.51,21.07,28009.85
2025-02-03,SELL,PLTR,130,83.74,10886.2,1111.5,11.37,38896.05
2025-02-03,SELL,WMT,110,98.39,10823.37,1037.32,10.6,49719.42
2025-02-03,SELL,AXP,33,313.2,10335.5,613.87,6.31,60054.93
2025-02-03,SELL,CRWD,24,397.57,9541.68,-266.64,-2.72,69596.61
2025-02-03,SELL,SBUX,47,104.69,4920.32,-19.11,-0.39,74516.92
2025-02-03,BUY,BAC,230,44.91,10329.32,,,64187.6
2025-02-03,BUY,EMR,82,125.23,10268.66,,,53918.95
2025-02-03,BUY,GS,16,616.48,9863.65,,,44055.3
2025-02-03,BUY,SHOP,90,114.39,10295.1,,,33760.2
2025-02-03,BUY,MS,77,133.58,10285.31,,,23474.89
2025-02-03,BUY,WFC,135,76.1,10274.05,,,13200.84
2025-02-03,BUY,NFLX,105,97.89,10278.87,,,2921.97
2025-02-25,SELL,BAC,230,42.7,9821.91,-507.41,-4.91,12743.87
2025-02-25,SELL,EMR,82,117.76,9656.36,-612.29,-5.96,22400.23
2025-02-26,BUY,NVDA,85,131.24,11155.14,,,11245.09
2025-02-26,BUY,CRM,36,305.34,10992.12,,,252.97
2025-03-03,SELL,NVDA,85,114.02,9691.92,-1463.22,-13.12,9944.89
2025-03-04,SELL,GS,16,569.34,9109.52,-754.13,-7.65,19054.41
2025-03-04,SELL,MS,77,118.54,9127.5,-1157.81,-11.26,28181.91
2025-03-06,SELL,NFLX,105,90.64,9516.78,-762.09,-7.41,37698.69
2025-03-07,SELL,WFC,135,69.54,9387.96,-886.09,-8.62,47086.65
2025-03-07,SELL,CRM,36,281.06,10117.99,-874.13,-7.95,57204.64
2025-03-07,BUY,AVGO,49,192.81,9447.67,,,47756.97
2025-03-10,SELL,SHOP,90,92.75,8347.5,-1947.6,-18.92,56104.47
2025-03-20,BUY,NKE,133,70.1,9323.4,,,46781.07
2025-03-26,SELL,NKE,133,64.13,8529.36,-794.03,-8.52,55310.43
2025-03-28,SELL,AVGO,49,167.76,8220.27,-1227.4,-12.99,63530.71
2025-04-01,SELL,RTX,86,130.64,11235.44,1473.6,15.1,74766.15
2025-04-01,SELL,META,16,584.18,9346.84,-202.69,-2.12,84112.99
2025-04-01,BUY,SO,93,88.9,8267.92,,,75845.07
2025-04-01,BUY,CHTR,22,370.91,8160.02,,,67685.05
2025-04-01,BUY,TMUS,31,264.03,8184.9,,,59500.15
2025-04-01,BUY,V,24,343.78,8250.65,,,51249.5
2025-04-01,BUY,KO,118,69.85,8241.74,,,43007.76
2025-04-01,BUY,WMT,94,88.05,8276.58,,,34731.18
2025-04-01,BUY,COST,8,949.2,7593.58,,,27137.59
2025-04-01,BUY,SBUX,86,95.59,8220.95,,,18916.65
2025-04-01,BUY,DASH,45,182.42,8208.9,,,10707.75
2025-04-03,SELL,SBUX,86,85.89,7386.55,-834.4,-10.15,18094.3
2025-04-04,SELL,JPM,41,207.32,8500.29,-1092.46,-11.39,26594.59
2025-04-04,SELL,CHTR,22,338.29,7442.38,-717.64,-8.79,34036.97
2025-04-04,SELL,TMUS,31,243.94,7562.2,-622.69,-7.61,41599.17
2025-04-04,SELL,V,24,310.8,7459.29,-791.36,-9.59,49058.46
2025-04-07,SELL,SO,93,84.45,7853.71,-414.21,-5.01,56912.18
2025-04-08,SELL,WMT,94,81.07,7620.64,-655.94,-7.93,64532.81
2025-04-09,BUY,TXN,56,164.31,9201.44,,,55331.38
2025-04-09,BUY,ON,235,39.2,9212.0,,,46119.38
2025-04-09,BUY,OXY,234,39.38,9214.26,,,36905.12
2025-04-09,BUY,PLD,97,94.92,9207.46,,,27697.65
2025-04-09,BUY,BAC,254,36.33,9228.53,,,18469.12
2025-04-11,BUY,JPM,39,232.88,9082.31,,,9386.81
2025-04-11,BUY,WFC,153,61.18,9360.83,,,25.98
2025-05-01,SELL,KO,118,69.28,8175.23,-66.51,-0.81,8201.21
2025-05-01,SELL,COST,8,993.59,7948.76,355.17,4.68,16149.97
2025-05-01,SELL,DASH,45,196.2,8829.0,620.1,7.55,24978.97
2025-05-01,SELL,TXN,56,154.72,8664.56,-536.88,-5.83,33643.53
2025-05-01,SELL,ON,235,39.6,9306.0,94.0,1.02,42949.53
2025-05-01,SELL,OXY,234,39.58,9262.36,48.1,0.52,52211.89
2025-05-01,SELL,PLD,97,99.62,9663.06,455.59,4.95,61874.95
2025-05-01,SELL,BAC,254,39.29,9978.74,750.21,8.13,71853.68
2025-05-01,SELL,WFC,153,70.28,10753.5,1392.67,14.88,82607.18
2025-05-01,BUY,MS,71,114.62,8138.08,,,74469.09
2025-05-01,BUY,V,23,339.91,7817.84,,,66651.25
2025-05-01,BUY,SO,92,88.55,8146.95,,,58504.31
2025-05-01,BUY,META,14,570.43,7986.03,,,50518.28
2025-05-01,BUY,ABBV,43,188.79,8118.12,,,42400.16
2025-05-01,BUY,SPOT,13,602.26,7829.38,,,34570.78
2025-05-01,BUY,CHTR,21,383.0,8043.0,,,26527.78
2025-05-01,BUY,NFLX,71,113.35,8047.64,,,18480.14
2025-05-01,BUY,AMT,37,218.21,8073.95,,,10406.19
2025-05-12,SELL,AMT,37,202.52,7493.35,-580.6,-7.19,17899.55
2025-05-13,SELL,SO,92,82.85,7622.29,-524.66,-6.44,25521.83
2025-05-13,BUY,COIN,49,256.9,12588.1,,,12933.73
2025-05-14,SELL,ABBV,43,173.27,7450.5,-667.62,-8.22,20384.23
2025-05-15,BUY,DE,19,511.13,9711.5,,,10672.73
2025-05-16,BUY,UNH,18,283.9,5110.28,,,5562.46
2025-06-02,SELL,JPM,39,260.94,10176.65,1094.34,12.05,15739.1
2025-06-02,SELL,MS,71,126.05,8949.38,811.3,9.97,24688.49
2025-06-02,SELL,V,23,363.21,8353.79,535.95,6.86,33042.28
2025-06-02,SELL,SPOT,13,672.0,8736.0,906.62,11.58,41778.28
