date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,NKE,137,71.5,9796.12,,,90203.88
2025-01-02,BUY,AMT,56,174.89,9793.96,,,80409.92
2025-01-02,BUY,ADBE,22,441.0,9702.0,,,70707.92
2025-01-02,BUY,SLB,264,37.0,9768.9,,,60939.03
2025-01-02,BUY,AMGN,39,249.38,9725.76,,,51213.27
2025-01-02,BUY,REGN,13,710.39,9235.08,,,41978.19
2025-01-02,BUY,LMT,21,465.99,9785.7,,,32192.49
2025-01-02,BUY,UPS,85,114.31,9716.3,,,22476.19
2025-01-02,BUY,VRTX,24,405.76,9738.24,,,12737.95
2025-01-02,BUY,PEP,68,143.16,9734.82,,,3003.13
2025-01-06,SELL,LMT,21,450.28,9455.96,-329.74,-3.37,12459.09
2025-01-10,SELL,ADBE,22,405.92,8930.24,-771.76,-7.95,21389.33
2025-01-10,SELL,PEP,68,135.94,9244.22,-490.6,-5.04,30633.55
2025-01-15,BUY,JPM,41,247.28,10138.46,,,20495.08
2025-01-15,BUY,GS,17,590.69,10041.78,,,10453.3
2025-01-15,BUY,WFC,141,73.97,10429.93,,,23.37
2025-01-24,SELL,REGN,13,671.26,8726.32,-508.76,-5.51,8749.69
2025-01-29,BUY,META,12,673.79,8085.44,,,664.25
2025-01-30,SELL,UPS,85,106.03,9012.7,-703.6,-7.24,9676.95
2025-01-30,BUY,INTC,483,20.01,9664.83,,,12.12
2025-02-03,SELL,NKE,137,74.34,10184.4,388.28,3.96,10196.52
2025-02-03,SELL,AMT,56,179.08,10028.76,234.8,2.4,20225.28
2025-02-03,SELL,SLB,264,38.7,10216.64,447.74,4.58,30441.91
2025-02-03,SELL,AMGN,39,277.84,10835.7,1109.94,11.41,41277.61
2025-02-03,SELL,VRTX,24,470.37,11288.88,1550.64,15.92,52566.49
2025-02-03,SELL,GS,17,616.48,10480.13,438.35,4.37,63046.62
2025-02-03,SELL,WFC,141,76.1,10730.67,300.74,2.88,73777.3
2025-02-03,SELL,INTC,483,19.38,9360.54,-304.29,-3.15,83137.83
2025-02-03,BUY,AMZN,42,237.42,9971.64,,,73166.19
2025-02-03,BUY,NFLX,103,97.89,10083.08,,,63083.11
2025-02-03,BUY,AVGO,47,215.33,10120.44,,,52962.68
2025-02-03,BUY,MRVL,89,113.18,10073.19,,,42889.49
2025-02-03,BUY,CRWD,25,397.57,9939.25,,,32950.24
2025-02-03,BUY,SHOP,88,114.39,10066.32,,,22883.92
2025-02-03,BUY,DASH,53,190.8,10112.4,,,12771.52
2025-02-03,BUY,PLTR,121,83.74,10132.54,,,2638.98
2025-02-12,TRIM,PLTR,40,117.39,4695.6,1346.0,40.18,7334.58
2025-02-19,SELL,AMZN,42,226.63,9518.46,-453.18,-4.54,16853.04
2025-02-24,SELL,MRVL,89,97.58,8684.98,-1388.21,-13.78,25538.01
2025-02-26,BUY,NVDA,97,131.24,12729.99,,,12808.03
2025-02-26,BUY,CRM,41,305.34,12518.8,,,289.22
2025-02-27,SELL,AVGO,47,195.62,9194.06,-926.38,-9.15,9483.28
2025-03-03,SELL,NVDA,97,114.02,11060.2,-1669.79,-13.12,20543.48
2025-03-04,SELL,CRM,41,285.48,11704.53,-814.27,-6.5,32248.01
2025-03-06,SELL,META,12,625.42,7505.05,-580.39,-7.18,39753.06
2025-03-06,SELL,NFLX,103,90.64,9335.51,-747.57,-7.41,49088.56
2025-03-06,SELL,CRWD,25,347.73,8693.25,-1246.0,-12.54,57781.81
2025-03-07,SELL,SHOP,88,100.13,8811.44,-1254.88,-12.47,66593.25
2025-03-10,SELL,JPM,41,227.55,9329.72,-808.75,-7.98,75922.97
2025-03-20,BUY,NKE,135,70.1,9463.6,,,66459.37
2025-03-25,SELL,NKE,135,64.91,8762.98,-700.62,-7.4,75222.35
2025-04-01,SELL,DASH,53,182.42,9668.26,-444.14,-4.39,84890.61
2025-04-01,SELL,PLTR,81,84.68,6859.08,76.14,1.12,91749.69
2025-04-01,BUY,VRTX,17,484.74,8240.58,,,83509.11
2025-04-01,BUY,GE,40,202.72,8108.68,,,75400.43
2025-04-01,BUY,TMUS,31,264.03,8184.89,,,67215.54
2025-04-01,BUY,AMT,38,212.0,8055.99,,,59159.55
2025-04-01,BUY,AMGN,27,297.58,8034.77,,,51124.78
2025-04-01,BUY,CVX,51,161.25,8223.92,,,42900.86
2025-04-01,BUY,ABBV,41,199.58,8182.58,,,34718.28
2025-04-01,BUY,KO,118,69.85,8241.74,,,26476.54
2025-04-01,BUY,RTX,63,130.64,8230.61,,,18245.93
2025-04-01,BUY,XOM,71,115.09,8171.09,,,10074.84
2025-04-03,SELL,GE,40,186.64,7465.68,-643.0,-7.93,17540.52
2025-04-03,SELL,CVX,51,149.4,7619.24,-604.68,-7.35,25159.76
2025-04-03,SELL,XOM,71,108.7,7717.37,-453.72,-5.55,32877.13
2025-04-04,SELL,TMUS,31,243.94,7562.2,-622.69,-7.61,40439.33
2025-04-04,SELL,ABBV,41,180.89,7416.56,-766.01,-9.36,47855.9
2025-04-04,SELL,RTX,63,115.5,7276.52,-954.09,-11.59,55132.41
