date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,KO,266,37.58,9996.99,,,90003.01
2019-01-02,BUY,NEE,281,35.5,9975.56,,,80027.45
2019-01-02,BUY,D,193,51.73,9983.6,,,70043.85
2019-01-02,BUY,PEP,114,87.61,9987.06,,,60056.79
2019-01-02,BUY,MRK,173,57.64,9971.41,,,50085.38
2019-01-28,SELL,D,193,49.69,9589.47,-394.13,-3.95,59674.85
2019-02-01,SELL,KO,266,39.0,10374.04,377.04,3.77,70048.89
2019-02-01,SELL,NEE,281,37.17,10444.88,469.32,4.7,80493.77
2019-02-01,SELL,PEP,114,89.94,10253.0,265.94,2.66,90746.77
2019-02-01,SELL,MRK,173,58.29,10084.86,113.45,1.14,100831.63
2019-02-01,BUY,QCOM,242,41.62,10071.41,,,90760.22
2019-02-01,BUY,ABBV,169,59.66,10082.27,,,80677.95
2019-02-01,BUY,MS,299,33.69,10072.59,,,70605.36
2019-02-01,BUY,WFC,249,40.45,10073.13,,,60532.23
2019-02-01,BUY,BLK,28,347.9,9741.28,,,50790.95
2019-02-01,BUY,SLB,277,36.4,10082.15,,,40708.79
2019-02-01,BUY,GS,60,166.11,9966.38,,,30742.41
2019-02-01,BUY,AMGN,67,149.89,10042.79,,,20699.62
2019-02-01,BUY,WMT,358,28.12,10067.98,,,10631.64
2019-02-01,BUY,NVDA,2810,3.59,10082.14,,,549.49
2019-03-01,SELL,QCOM,242,45.47,11003.24,931.83,9.25,11552.73
2019-03-01,SELL,ABBV,169,59.36,10032.17,-50.1,-0.5,21584.9
2019-03-01,SELL,MS,299,34.24,10236.37,163.78,1.63,31821.27
2019-03-01,SELL,WFC,249,41.38,10303.8,230.67,2.29,42125.07
2019-03-01,SELL,BLK,28,370.41,10371.36,630.08,6.47,52496.44
2019-03-01,SELL,SLB,277,37.34,10343.06,260.91,2.59,62839.5
2019-03-01,SELL,GS,60,168.19,10091.15,124.76,1.25,72930.65
2019-03-01,SELL,AMGN,67,154.35,10341.71,298.92,2.98,83272.35
2019-03-01,SELL,WMT,358,29.34,10504.55,436.57,4.34,93776.91
2019-03-01,SELL,NVDA,2810,3.88,10909.81,827.67,8.21,104686.72
2019-03-01,BUY,NFLX,292,35.73,10433.74,,,94252.98
2019-03-01,BUY,MRVL,542,19.3,10458.26,,,83794.72
2019-03-01,BUY,NOW,214,48.7,10422.66,,,73372.06
2019-03-01,BUY,PANW,255,40.91,10432.48,,,62939.59
2019-03-01,BUY,ZS,172,60.57,10418.04,,,52521.55
2019-03-01,BUY,SHOP,546,19.15,10456.99,,,42064.56
2019-03-01,BUY,REGN,23,436.62,10042.27,,,32022.29
2019-03-01,BUY,ROKU,151,69.08,10431.08,,,21591.21
2019-03-01,BUY,BA,24,430.3,10327.2,,,11264.01
2019-03-01,BUY,GE,211,49.51,10447.32,,,816.69
2019-03-06,SELL,BA,24,414.52,9948.44,-378.76,-3.67,10765.13
2019-03-06,SELL,GE,211,43.92,9267.3,-1180.03,-11.3,20032.43
2019-03-07,SELL,REGN,23,406.83,9357.13,-685.14,-6.82,29389.55
2019-03-08,SELL,MRVL,542,18.0,9753.38,-704.88,-6.74,39142.93
2019-04-01,SELL,NOW,214,49.15,10517.24,94.59,0.91,49660.18
2019-04-01,SELL,PANW,255,40.24,10259.93,-172.55,-1.65,59920.1
2019-04-01,SELL,ZS,172,70.74,12167.28,1749.24,16.79,72087.38
2019-04-01,SELL,SHOP,546,20.6,11249.78,792.79,7.58,83337.17
2019-04-01,SELL,ROKU,151,69.11,10435.61,4.53,0.04,93772.78
2019-04-01,BUY,NVDA,2303,4.52,10417.62,,,83355.16
2019-04-01,BUY,SLB,281,36.98,10392.58,,,72962.57
2019-04-01,BUY,AAPL,228,45.61,10399.43,,,62563.15
2019-04-01,BUY,AMZN,114,90.71,10340.88,,,52222.26
2019-04-01,BUY,META,62,167.39,10377.96,,,41844.3
2019-04-01,BUY,AMD,395,26.36,10412.2,,,31432.1
2019-04-01,BUY,ADBE,38,272.17,10342.46,,,21089.64
2019-04-01,BUY,AVGO,408,25.51,10407.1,,,10682.54
2019-04-01,BUY,MU,252,41.22,10388.24,,,294.3
2019-05-01,SELL,SLB,281,34.18,9605.48,-787.11,-7.57,9899.77
2019-05-08,SELL,MU,252,38.78,9773.55,-614.69,-5.92,19673.33
2019-05-09,SELL,NVDA,2303,4.22,9726.65,-690.97,-6.63,29399.98
2019-05-17,SELL,AVGO,408,24.18,9865.97,-541.13,-5.2,39265.95
2019-05-28,SELL,AAPL,228,42.67,9729.28,-670.15,-6.44,48995.23
2019-06-03,SELL,AMZN,114,84.63,9648.33,-692.55,-6.7,58643.56
2019-07-01,SELL,NFLX,292,37.46,10938.32,504.58,4.84,69581.88
2019-07-01,SELL,META,62,191.5,11872.83,1494.87,14.4,81454.71
2019-07-01,SELL,ADBE,38,300.97,11436.86,1094.4,10.58,92891.57
2019-07-01,BUY,QCOM,155,66.39,10290.19,,,82601.38
2019-07-01,BUY,SHOP,338,30.47,10298.18,,,72303.19
2019-07-01,BUY,ROKU,112,91.37,10233.44,,,62069.75
2019-07-01,BUY,MRVL,440,23.45,10317.88,,,51751.88
2019-07-01,BUY,LMT,34,301.97,10267.05,,,41484.83
2019-07-01,BUY,DIS,75,136.72,10254.01,,,31230.82
2019-07-01,BUY,NOW,182,56.7,10319.76,,,20911.06
2019-07-01,BUY,WMT,308,33.5,10317.98,,,10593.08
2019-07-01,BUY,ZS,134,76.61,10265.74,,,327.34
2019-07-11,SELL,QCOM,155,63.13,9784.44,-505.75,-4.91,10111.78
2019-08-01,SELL,AMD,395,29.86,11794.7,1382.5,13.28,21906.48
2019-08-01,SELL,MRVL,440,24.84,10930.68,612.81,5.94,32837.17
2019-08-01,SELL,LMT,34,303.33,10313.06,46.02,0.45,43150.23
2019-08-01,SELL,DIS,75,137.76,10332.08,78.07,0.76,53482.3
2019-08-01,SELL,NOW,182,54.8,9973.6,-346.16,-3.35,63455.9
2019-08-01,SELL,WMT,308,33.12,10202.32,-115.66,-1.12,73658.22
2019-08-01,BUY,SBUX,127,82.24,10444.64,,,63213.58
2019-08-01,BUY,SPOT,67,155.61,10425.87,,,52787.71
2019-08-01,BUY,NEE,236,44.53,10507.91,,,42279.81
2019-08-01,BUY,COST,42,249.59,10482.79,,,31797.02
2019-08-01,BUY,FIS,91,114.68,10435.91,,,21361.11
2019-08-01,BUY,AMAT,231,45.38,10482.71,,,10878.4
2019-08-01,BUY,PG,106,99.18,10512.93,,,365.47
2019-08-05,SELL,COST,42,240.98,10121.24,-361.55,-3.45,10486.7
2019-08-05,SELL,FIS,91,110.08,10017.55,-418.36,-4.01,20504.25
2019-08-12,TRIM,ROKU,37,134.3,4969.1,1588.41,46.98,25473.35
2019-08-15,SELL,SPOT,67,145.37,9739.79,-686.08,-6.58,35213.14
2019-08-23,SELL,AMAT,231,42.43,9802.24,-680.46,-6.49,45015.39
2019-08-30,SELL,ZS,134,68.74,9211.16,-1054.58,-10.27,54226.55
2019-09-02,SELL,NEE,236,46.65,11010.13,502.23,4.78,65236.68
2019-09-02,SELL,PG,106,102.15,10828.15,315.22,3.0,76064.83
2019-09-02,BUY,KLAC,79,136.81,10808.27,,,65256.56
2019-09-02,BUY,AMGN,63,171.11,10779.68,,,54476.88
2019-09-02,BUY,COST,40,268.54,10741.44,,,43735.43
2019-09-02,BUY,TGT,120,89.87,10784.03,,,32951.4
2019-09-02,BUY,UPS,118,91.42,10787.93,,,22163.47
2019-09-02,BUY,HD,56,193.39,10829.87,,,11333.6
2019-09-02,BUY,LRCX,559,19.4,10847.04,,,486.56
2019-09-04,TRIM,ROKU,25,168.91,4222.75,1938.5,84.86,4709.31
2019-09-10,SELL,SBUX,127,78.2,9931.33,-513.31,-4.91,14640.64
2019-09-10,SELL,AMGN,63,161.47,10172.54,-607.14,-5.63,24813.18
