date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,NEE,281,35.5,9975.56,,,90024.44
2019-01-02,BUY,KO,266,37.58,9996.99,,,80027.45
2019-02-01,BUY,AMT,70,141.9,9933.2,,,70094.25
2019-02-01,BUY,MCD,66,149.36,9857.46,,,60236.79
2019-02-01,BUY,SO,274,36.5,10000.3,,,50236.49
2019-02-01,BUY,MRK,171,58.29,9968.27,,,40268.22
2019-02-01,BUY,TMUS,149,66.95,9975.26,,,30292.96
2019-02-01,BUY,D,193,51.58,9954.14,,,20338.82
2019-02-01,BUY,DIS,93,107.43,9990.65,,,10348.17
2019-02-01,BUY,PG,122,81.7,9967.99,,,380.17
2019-02-05,SELL,TMUS,149,64.28,9576.99,-398.26,-3.99,9957.17
2019-02-14,SELL,KO,266,36.51,9711.55,-285.44,-2.86,19668.72
2019-03-01,SELL,DIS,93,110.04,10233.91,243.26,2.43,29902.63
2019-03-01,BUY,PEP,106,93.89,9952.61,,,19950.02
2019-03-01,BUY,FIS,105,94.15,9886.14,,,10063.88
2019-03-01,BUY,LLY,84,117.66,9883.07,,,180.81
2019-03-07,SELL,FIS,105,91.77,9636.23,-249.91,-2.53,9817.04
2019-03-11,SELL,LLY,84,112.78,9473.44,-409.62,-4.14,19290.49
2019-04-01,BUY,DIS,88,108.59,9556.29,,,9734.19
2019-04-01,BUY,JNJ,84,114.32,9602.66,,,131.53
2019-04-04,SELL,JNJ,84,111.51,9367.05,-235.61,-2.45,9498.58
2019-04-17,SELL,MRK,171,56.75,9703.79,-264.48,-2.65,19202.38
2019-05-01,SELL,DIS,88,131.63,11583.75,2027.45,21.22,30786.13
2019-05-01,BUY,JNJ,87,116.76,10158.15,,,20627.98
2019-05-01,BUY,SBUX,154,66.53,10246.06,,,10381.92
2019-05-01,BUY,V,66,154.99,10229.24,,,152.68
2019-05-13,SELL,JNJ,87,112.85,9818.24,-339.92,-3.35,9970.91
2019-05-13,SELL,V,66,149.79,9886.15,-343.09,-3.35,19857.06
2019-06-03,BUY,KO,245,40.37,9891.78,,,9965.28
2019-06-03,BUY,MRK,161,61.61,9919.92,,,45.36
2019-07-01,SELL,MRK,161,65.5,10544.84,624.91,6.3,10590.19
2019-07-01,BUY,PFE,351,30.17,10589.93,,,0.27
2019-07-12,SELL,PFE,351,29.23,10258.46,-331.47,-3.13,10258.73
2019-08-01,SELL,SBUX,154,82.24,12665.16,2419.1,23.61,22923.88
2019-08-01,SELL,KO,245,42.36,10377.89,486.11,4.91,33301.77
2019-08-01,BUY,ABT,144,76.73,11048.78,,,22252.99
2019-08-01,BUY,WMT,335,33.12,11096.68,,,11156.31
2019-08-01,BUY,FIS,96,114.68,11009.31,,,147.0
2019-08-05,SELL,ABT,144,74.12,10673.99,-374.8,-3.39,10820.99
2019-08-05,SELL,WMT,335,32.05,10735.52,-361.16,-3.25,21556.51
2019-08-05,SELL,FIS,96,110.08,10567.96,-441.35,-4.01,32124.47
2019-08-22,TRIM,AMT,23,191.96,4415.09,1151.33,35.28,36539.56
2019-09-02,BUY,KO,271,44.81,12143.31,,,24396.25
2019-09-02,BUY,ABT,160,76.05,12168.04,,,12228.21
2019-09-02,BUY,CHTR,29,409.59,11878.11,,,350.1
2019-09-03,TRIM,NEE,93,48.03,4467.07,1165.55,35.3,4817.17
2019-09-23,SELL,ABT,160,74.12,11859.99,-308.05,-2.53,16677.16
2019-10-01,BUY,MRK,256,65.04,16651.33,,,25.83
2019-10-02,SELL,KO,271,43.53,11796.5,-346.8,-2.86,11822.33
2019-10-22,SELL,MRK,256,63.25,16191.29,-460.04,-2.76,28013.62
2019-11-01,SELL,AMT,47,181.83,8545.83,1876.4,28.13,36559.45
2019-11-01,SELL,MCD,66,166.8,11008.53,1151.07,11.68,47567.98
2019-11-01,SELL,CHTR,29,476.48,13817.92,1939.81,16.33,61385.9
2019-11-01,BUY,DIS,95,128.92,12247.72,,,49138.19
2019-11-01,BUY,KO,277,44.2,12243.95,,,36894.24
2019-11-01,BUY,TMUS,154,79.29,12211.19,,,24683.04
2019-11-01,BUY,HD,60,202.62,12157.32,,,12525.73
2019-11-01,BUY,SBUX,170,72.02,12243.34,,,282.38
2019-11-05,SELL,KO,277,42.99,11907.75,-336.2,-2.75,12190.13
2019-11-05,SELL,HD,60,198.23,11894.04,-263.28,-2.17,24084.17
2019-11-11,SELL,TMUS,154,76.55,11789.2,-421.99,-3.46,35873.37
2019-11-20,TRIM,SO,91,49.41,4496.21,1174.94,35.38,40369.58
2019-12-02,SELL,DIS,95,146.28,13896.43,1648.71,13.46,54266.01
2019-12-02,SELL,SBUX,170,73.56,12505.65,262.31,2.14,66771.66
2019-12-02,BUY,WMT,367,36.3,13322.22,,,53449.44
2019-12-02,BUY,KO,300,44.41,13322.47,,,40126.98
2019-12-02,BUY,TMUS,178,74.65,13287.61,,,26839.36
2019-12-02,BUY,COST,49,271.52,13304.51,,,13534.85
2019-12-02,BUY,ABT,176,75.63,13310.92,,,223.93
2019-12-10,SELL,TMUS,178,72.13,12839.22,-448.4,-3.37,13063.15
2019-12-13,SELL,COST,49,266.48,13057.56,-246.95,-1.86,26120.71
