date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,LMT,45,218.16,9817.24,,,90182.76
2019-01-02,BUY,RTX,173,57.58,9961.77,,,80220.99
2019-01-02,BUY,WFC,259,38.48,9965.32,,,70255.66
2019-01-02,BUY,MMM,81,123.3,9987.12,,,60268.54
2019-01-02,BUY,UPS,137,72.92,9990.29,,,50278.25
2019-01-02,BUY,PLD,214,46.67,9987.97,,,40290.28
2019-01-02,BUY,XOM,199,50.0,9950.37,,,30339.91
2019-01-02,BUY,EMR,197,50.51,9951.05,,,20388.86
2019-01-02,BUY,CHTR,34,287.99,9791.66,,,10597.2
2019-01-02,BUY,HON,93,106.93,9944.34,,,652.86
2019-04-01,SELL,LMT,45,252.57,11365.58,1548.34,15.77,12018.44
2019-04-01,SELL,RTX,173,71.24,12324.03,2362.26,23.71,24342.47
2019-04-01,SELL,MMM,81,137.8,11161.58,1174.46,11.76,35504.05
2019-04-01,SELL,UPS,137,86.59,11863.19,1872.9,18.75,47367.24
2019-04-01,SELL,PLD,214,59.53,12739.81,2751.84,27.55,60107.05
2019-04-01,SELL,XOM,199,59.29,11799.0,1848.64,18.58,71906.05
2019-04-01,SELL,EMR,197,59.72,11764.05,1813.0,18.22,83670.1
2019-04-01,SELL,CHTR,34,346.22,11771.48,1979.82,20.22,95441.58
2019-04-01,SELL,HON,93,131.67,12245.14,2300.79,23.14,107686.72
2019-04-01,BUY,ABBV,199,59.87,11913.31,,,95773.41
2019-04-01,BUY,GS,71,166.95,11853.23,,,83920.18
2019-04-01,BUY,QCOM,243,49.06,11921.63,,,71998.55
2019-04-01,BUY,BLK,32,368.7,11798.31,,,60200.24
2019-04-01,BUY,UNH,54,218.1,11777.2,,,48423.03
2019-04-01,BUY,MS,341,35.07,11957.19,,,36465.84
2019-04-01,BUY,OXY,206,57.82,11910.08,,,24555.76
2019-04-01,BUY,JPM,138,86.31,11910.25,,,12645.51
2019-04-01,BUY,TMUS,177,67.27,11907.66,,,737.85
2019-04-12,SELL,UNH,54,198.27,10706.64,-1070.57,-9.09,11444.48
2019-04-17,SELL,OXY,206,53.92,11106.98,-803.11,-6.74,22551.46
2019-04-17,TRIM,QCOM,81,67.11,5435.98,1462.11,36.79,27987.44
2019-05-31,SELL,GS,71,155.55,11044.25,-808.98,-6.82,39031.69
2019-06-25,SELL,ABBV,199,49.34,9817.81,-2095.5,-17.59,48849.5
2019-07-01,SELL,QCOM,162,66.39,10754.91,2807.16,35.32,59604.41
2019-07-01,SELL,BLK,32,400.79,12825.28,1026.97,8.7,72429.69
2019-07-01,SELL,MS,341,35.63,12148.66,191.47,1.6,84578.35
2019-07-01,SELL,JPM,138,94.48,13038.21,1127.96,9.47,97616.56
2019-07-01,SELL,TMUS,177,71.29,12619.03,711.36,5.97,110235.58
2019-07-01,BUY,MMM,107,114.43,12244.24,,,97991.34
2019-07-01,BUY,ABBV,222,55.12,12236.16,,,85755.18
2019-07-01,BUY,UPS,155,78.67,12193.22,,,73561.96
2019-07-01,BUY,AMT,72,169.94,12235.88,,,61326.09
2019-07-01,BUY,EMR,214,57.23,12247.57,,,49078.51
2019-07-01,BUY,XOM,218,56.18,12246.69,,,36831.82
2019-07-01,BUY,LLY,118,103.53,12216.62,,,24615.2
2019-07-01,BUY,OXY,281,43.53,12232.97,,,12382.23
2019-07-01,BUY,REGN,38,314.44,11948.56,,,433.67
2019-07-09,SELL,MMM,107,108.66,11626.1,-618.14,-5.05,12059.77
2019-07-24,SELL,ABBV,222,51.43,11417.42,-818.75,-6.69,23477.18
2019-08-01,SELL,XOM,218,53.17,11590.85,-655.84,-5.36,35068.03
2019-08-02,SELL,EMR,214,52.9,11320.42,-927.15,-7.57,46388.46
2019-08-13,SELL,OXY,281,39.14,10999.35,-1233.62,-10.08,57387.81
2019-08-23,SELL,REGN,38,284.93,10827.16,-1121.4,-9.39,68214.96
2019-10-01,SELL,WFC,259,41.43,10730.88,765.55,7.68,78945.84
2019-10-01,SELL,UPS,155,89.23,13830.24,1637.02,13.43,92776.08
2019-10-01,SELL,AMT,72,186.36,13417.68,1181.8,9.66,106193.76
2019-10-01,SELL,LLY,118,102.47,12091.15,-125.48,-1.03,118284.9
2019-10-01,BUY,MMM,112,104.81,11738.21,,,106546.69
2019-10-01,BUY,PFE,479,24.65,11807.55,,,94739.13
2019-10-01,BUY,UNH,60,194.7,11682.06,,,83057.07
2019-10-01,BUY,CAT,110,106.93,11761.76,,,71295.31
2019-10-01,BUY,SPOT,105,112.52,11814.6,,,59480.71
2019-10-01,BUY,XOM,230,51.22,11781.19,,,47699.52
2019-10-01,BUY,DIS,94,125.82,11826.66,,,35872.86
2019-10-01,BUY,SLB,424,27.83,11801.87,,,24070.99
2019-10-01,BUY,COP,271,43.61,11819.15,,,12251.84
2019-10-01,BUY,GE,284,41.64,11825.53,,,426.31
2019-11-01,TRIM,SPOT,35,146.92,5142.2,1204.0,30.57,5568.51
2019-11-07,TRIM,GE,94,54.6,5132.4,1218.32,31.13,10700.91
2019-11-25,TRIM,UNH,20,253.38,5067.55,1173.53,30.14,15768.46
