date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,AMT,68,130.5,8874.29,,,91125.71
2019-01-02,BUY,NEE,253,35.5,8981.55,,,82144.16
2019-01-02,BUY,SBUX,163,54.92,8951.49,,,73192.66
2019-01-02,BUY,MCD,60,148.8,8927.87,,,64264.8
2019-01-02,BUY,KO,239,37.58,8982.26,,,55282.53
2019-01-02,BUY,MRK,156,57.64,8991.56,,,46290.97
2019-01-02,BUY,SO,273,32.91,8983.66,,,37307.32
2019-01-02,BUY,PG,118,75.92,8958.04,,,28349.27
2019-01-02,BUY,ABBV,137,65.33,8949.79,,,19399.48
2019-01-02,BUY,PEP,102,87.61,8935.79,,,10463.69
2019-01-25,SELL,ABBV,137,59.69,8177.26,-772.53,-8.63,18640.95
2019-02-01,SELL,AMT,68,141.9,9649.39,775.1,8.73,28290.34
2019-02-01,SELL,SBUX,163,58.15,9478.95,527.46,5.89,37769.29
2019-02-01,SELL,MCD,60,149.36,8961.33,33.47,0.37,46730.62
2019-02-01,SELL,KO,239,39.0,9321.04,338.77,3.77,56051.66
2019-02-01,SELL,MRK,156,58.29,9093.86,102.3,1.14,65145.52
2019-02-01,SELL,PG,118,81.7,9641.17,683.13,7.63,74786.69
2019-02-01,SELL,PEP,102,89.94,9173.74,237.95,2.66,83960.43
2019-02-01,BUY,AMD,417,24.51,10220.67,,,73739.76
2019-02-01,BUY,AMAT,280,36.43,10200.43,,,63539.34
2019-02-01,BUY,LRCX,650,15.74,10229.23,,,53310.1
2019-02-01,BUY,ON,492,20.8,10233.6,,,43076.5
2019-02-01,BUY,MRVL,577,17.74,10233.14,,,32843.37
2019-02-01,BUY,PANW,278,36.71,10205.84,,,22637.52
2019-02-01,BUY,KLAC,105,97.04,10188.8,,,12448.73
2019-02-01,BUY,REGN,23,427.26,9827.06,,,2621.67
2019-02-06,SELL,REGN,23,403.83,9288.13,-538.93,-5.48,11909.8
2019-03-01,SELL,AMAT,280,35.92,10056.99,-143.44,-1.41,21966.79
2019-03-01,SELL,ON,492,21.67,10661.64,428.04,4.18,32628.43
2019-03-01,SELL,PANW,278,40.91,11373.44,1167.6,11.44,44001.87
2019-03-01,SELL,KLAC,105,105.77,11106.18,917.39,9.0,55108.06
2019-03-01,BUY,BLK,28,370.41,10371.36,,,44736.7
2019-03-01,BUY,META,65,161.02,10466.07,,,34270.63
2019-03-01,BUY,GS,62,168.19,10427.52,,,23843.11
2019-03-01,BUY,HD,68,154.88,10531.58,,,13311.53
2019-03-01,BUY,MS,309,34.24,10578.72,,,2732.8
2019-03-06,SELL,AMD,417,22.41,9344.97,-875.7,-8.57,12077.77
2019-03-07,SELL,BLK,28,355.91,9965.58,-405.78,-3.91,22043.36
2019-03-22,SELL,GS,62,160.35,9941.39,-486.12,-4.66,31984.75
2019-04-01,SELL,LRCX,650,16.93,11002.74,773.51,7.56,42987.49
2019-04-01,SELL,MRVL,577,19.51,11255.89,1022.76,9.99,54243.38
2019-04-01,SELL,META,65,167.39,10880.12,414.05,3.96,65123.5
2019-04-01,SELL,HD,68,164.85,11209.92,678.34,6.44,76333.43
2019-04-01,BUY,PANW,263,40.24,10581.81,,,65751.62
2019-04-01,BUY,AMT,66,160.29,10578.94,,,55172.68
2019-04-01,BUY,SLB,286,36.98,10577.51,,,44595.18
2019-04-01,BUY,MRNA,514,20.59,10583.26,,,34011.92
2019-04-01,BUY,AAPL,232,45.61,10581.88,,,23430.04
2019-04-01,BUY,JNJ,92,114.32,10517.2,,,12912.84
2019-04-01,BUY,NVDA,2342,4.52,10594.03,,,2318.81
2019-04-04,SELL,JNJ,92,111.51,10259.15,-258.05,-2.45,12577.96
2019-05-01,SELL,SLB,286,34.18,9776.39,-801.11,-7.57,22354.36
2019-05-09,SELL,NVDA,2342,4.22,9891.37,-702.67,-6.63,32245.72
2019-05-13,SELL,PANW,263,37.42,9840.58,-741.22,-7.0,42086.31
2019-05-28,SELL,AAPL,232,42.67,9899.97,-681.9,-6.44,51986.28
2019-06-03,SELL,MS,309,33.02,10202.07,-376.66,-3.56,62188.34
2019-06-03,SELL,MRNA,514,19.85,10202.9,-380.36,-3.59,72391.24
2019-06-03,BUY,MCD,51,170.06,8673.03,,,63718.22
2019-06-03,BUY,CMCSA,276,31.97,8822.75,,,54895.47
2019-06-03,BUY,MA,37,233.32,8632.68,,,46262.79
2019-06-03,BUY,HD,55,159.74,8785.54,,,37477.25
2019-06-03,BUY,PG,100,87.63,8762.53,,,28714.72
2019-06-03,BUY,PEP,84,104.24,8755.91,,,19958.81
2019-06-03,BUY,COST,40,219.14,8765.52,,,11193.29
2019-07-01,SELL,CMCSA,276,33.33,9199.7,376.95,4.27,20392.99
2019-07-01,SELL,HD,55,178.43,9813.69,1028.15,11.7,30206.68
2019-07-01,SELL,PG,100,93.27,9327.28,564.75,6.45,39533.96
2019-07-01,SELL,COST,40,239.57,9582.91,817.39,9.33,49116.88
2019-07-01,BUY,KO,279,42.01,11720.42,,,37396.46
2019-07-01,BUY,ABT,156,75.03,11704.59,,,25691.87
2019-07-01,BUY,SBUX,160,72.9,11664.5,,,14027.37
2019-07-01,BUY,LMT,38,301.97,11474.93,,,2552.43
2019-08-01,SELL,SO,273,43.92,11990.4,3006.74,33.47,14542.83
2019-08-01,SELL,ABT,156,76.73,11969.52,264.92,2.26,26512.35
2019-08-01,SELL,LMT,38,303.33,11526.36,51.43,0.45,38038.71
2019-08-01,BUY,MRK,184,64.68,11900.51,,,26138.2
2019-08-01,BUY,PG,120,99.18,11901.44,,,14236.77
2019-08-01,BUY,AMGN,78,151.48,11815.47,,,2421.29
2019-09-02,SELL,MA,37,271.31,10038.49,1405.82,16.28,12459.79
2019-09-02,SELL,MRK,184,66.83,12295.82,395.31,3.32,24755.61
2019-09-02,BUY,COST,41,268.54,11009.98,,,13745.63
2019-09-02,BUY,LMT,34,322.73,10972.9,,,2772.73
2019-10-01,SELL,COST,41,258.67,10605.45,-404.52,-3.67,13378.19
2019-10-04,TRIM,NEE,84,49.74,4178.41,1196.39,40.12,17556.6
2019-10-25,SELL,LMT,34,311.49,10590.67,-382.23,-3.48,28147.27
2019-11-01,SELL,AMT,66,181.83,12000.53,1421.59,13.44,40147.8
2019-11-01,SELL,MCD,51,166.8,8506.59,-166.43,-1.92,48654.39
2019-11-01,SELL,PEP,84,112.24,9428.37,672.46,7.68,58082.76
2019-11-01,SELL,KO,279,44.2,12332.35,611.93,5.22,70415.11
2019-11-01,SELL,SBUX,160,72.02,11523.14,-141.35,-1.21,81938.26
2019-11-01,SELL,AMGN,78,178.76,13943.15,2127.68,18.01,95881.41
2019-11-01,BUY,ABBV,184,63.23,11634.86,,,84246.55
2019-11-01,BUY,PANW,300,38.93,11678.5,,,72568.05
2019-11-01,BUY,MMM,103,112.55,11593.1,,,60974.95
2019-11-01,BUY,PFE,437,26.71,11672.2,,,49302.74
2019-11-01,BUY,D,186,62.73,11668.22,,,37634.53
2019-11-01,BUY,BA,34,341.16,11599.35,,,26035.17
2019-11-01,BUY,HD,57,202.62,11549.45,,,14485.72
2019-11-01,BUY,SO,241,48.51,11691.55,,,2794.16
2019-11-06,SELL,D,186,60.98,11341.73,-326.49,-2.8,14135.89
2019-11-07,SELL,SO,241,47.3,11400.49,-291.07,-2.49,25536.38
2019-11-11,SELL,PFE,437,25.94,11336.82,-335.38,-2.87,36873.2
