date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-07,BUY,ROKU,237,42.18,9996.66,,,90003.34
2019-01-16,BUY,GS,60,166.56,9993.77,,,80009.57
2019-01-24,BUY,LRCX,681,14.68,9999.39,,,70010.18
2019-01-30,BUY,BA,26,376.75,9795.4,,,60214.78
2019-01-31,BUY,META,60,165.39,9923.53,,,50291.25
2019-01-31,BUY,NOW,228,44.0,10032.91,,,40258.34
2019-01-31,BUY,GE,213,47.1,10032.1,,,30226.24
2019-01-31,BUY,CHTR,30,331.05,9931.5,,,20294.74
2019-02-01,SELL,ROKU,237,45.21,10714.77,718.11,7.18,31009.51
2019-02-01,SELL,GS,60,166.11,9966.38,-27.38,-0.27,40975.89
2019-02-01,SELL,LRCX,681,15.74,10717.09,717.7,7.18,51692.98
2019-02-01,SELL,BA,26,376.46,9788.08,-7.33,-0.07,61481.06
2019-02-01,SELL,META,60,164.42,9865.18,-58.34,-0.59,71346.24
2019-02-01,SELL,NOW,228,44.3,10100.86,67.94,0.68,81447.09
2019-02-01,SELL,GE,213,47.24,10061.73,29.62,0.3,91508.82
2019-02-01,SELL,CHTR,30,340.95,10228.5,297.0,2.99,101737.32
2019-02-01,BUY,AAPL,252,39.55,9965.62,,,91771.71
2019-02-01,BUY,AMD,406,24.51,9951.06,,,81820.65
2019-02-01,BUY,INTC,237,41.94,9939.32,,,71881.32
2019-02-01,BUY,V,74,133.2,9856.87,,,62024.45
2019-02-01,BUY,MA,48,205.59,9868.34,,,52156.12
2019-02-01,BUY,MRK,171,58.29,9968.27,,,42187.85
2019-02-01,BUY,CVX,115,86.2,9912.63,,,32275.21
2019-02-01,BUY,CAT,88,112.83,9929.03,,,22346.18
2019-02-01,BUY,UPS,125,79.58,9947.89,,,12398.29
2019-02-01,BUY,NEE,268,37.17,9961.66,,,2436.63
2019-03-01,SELL,AAPL,252,41.73,10516.23,550.61,5.53,12952.86
2019-03-01,SELL,AMD,406,23.68,9614.08,-336.98,-3.39,22566.94
2019-03-01,SELL,INTC,237,46.16,10940.36,1001.04,10.07,33507.3
2019-03-01,SELL,V,74,142.31,10530.7,673.83,6.84,44038.0
2019-03-01,SELL,MA,48,218.55,10490.62,622.28,6.31,54528.62
2019-03-01,SELL,MRK,171,62.26,10646.3,678.03,6.8,65174.92
2019-03-01,SELL,CVX,115,89.76,10321.86,409.22,4.13,75496.78
2019-03-01,SELL,CAT,88,118.48,10426.58,497.55,5.01,85923.35
2019-03-01,SELL,UPS,125,84.85,10606.52,658.63,6.62,96529.87
2019-03-01,SELL,NEE,268,39.47,10577.55,615.89,6.18,107107.42
2019-03-01,BUY,TMO,40,259.05,10361.98,,,96745.44
2019-03-01,BUY,BA,24,430.3,10327.2,,,86418.24
2019-03-05,SELL,TMO,40,249.63,9985.27,-376.71,-3.64,96403.51
2019-03-06,SELL,BA,24,414.52,9948.44,-378.76,-3.67,106351.96
2019-03-08,BUY,COST,51,206.54,10533.32,,,95818.64
2019-03-15,BUY,AVGO,443,24.0,10632.12,,,85186.52
2019-03-19,BUY,AMD,409,26.0,10634.0,,,74552.52
2019-03-21,BUY,MU,248,42.92,10644.38,,,63908.13
2019-03-25,SELL,MU,248,39.56,9812.0,-832.39,-7.82,73720.13
2019-03-28,BUY,LULU,62,167.54,10387.48,,,63332.65
2019-04-01,SELL,COST,51,221.38,11290.19,756.87,7.19,74622.84
2019-04-01,SELL,AVGO,443,25.51,11299.87,667.75,6.28,85922.7
2019-04-01,SELL,AMD,409,26.36,10781.24,147.24,1.38,96703.95
2019-04-01,SELL,LULU,62,165.52,10262.24,-125.24,-1.21,106966.19
2019-04-12,BUY,DIS,85,125.53,10670.34,,,96295.84
2019-04-16,BUY,QCOM,178,59.79,10642.1,,,85653.74
2019-04-23,BUY,LMT,38,276.48,10506.3,,,75147.44
2019-04-25,BUY,META,55,191.76,10546.54,,,64600.91
2019-04-25,BUY,NOW,206,52.14,10740.43,,,53860.48
2019-04-30,BUY,SHOP,442,24.35,10764.03,,,43096.45
2019-05-01,SELL,DIS,85,131.63,11188.85,518.5,4.86,54285.3
2019-05-01,SELL,QCOM,178,73.3,13046.96,2404.86,22.6,67332.27
2019-05-01,SELL,LMT,38,275.44,10466.87,-39.43,-0.38,77799.13
2019-05-01,SELL,META,55,191.53,10533.98,-12.55,-0.12,88333.12
