date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,AAPL,56,178.1,9973.8,,,90026.2
2022-01-03,BUY,NVDA,332,30.06,9980.3,,,80045.9
2022-01-03,BUY,TSLA,25,399.93,9998.17,,,70047.73
2022-01-03,BUY,AMD,66,150.24,9915.84,,,60131.89
2022-01-03,BUY,AVGO,163,61.32,9994.52,,,50137.37
2022-01-03,BUY,QCOM,59,169.19,9982.37,,,40155.0
2022-01-03,BUY,MU,106,93.65,9927.25,,,30227.75
2022-01-03,BUY,LRCX,144,69.24,9969.97,,,20257.78
2022-01-03,BUY,AMAT,64,154.05,9859.38,,,10398.4
2022-01-03,BUY,KLAC,24,416.5,9995.96,,,402.44
2022-01-06,SELL,AAPL,56,168.31,9425.28,-548.53,-5.5,9827.72
2022-01-06,SELL,TSLA,25,354.9,8872.5,-1125.67,-11.26,18700.22
2022-01-07,SELL,AMD,66,132.0,8712.0,-1203.84,-12.14,27412.22
2022-01-07,SELL,AVGO,163,57.23,9329.0,-665.53,-6.66,36741.21
2022-01-07,SELL,LRCX,144,63.88,9198.03,-771.94,-7.74,45939.24
2022-01-13,SELL,NVDA,332,26.52,8805.37,-1174.93,-11.77,54744.61
2022-01-14,BUY,JPM,64,142.36,9111.23,,,45633.38
2022-01-14,BUY,WFC,174,52.19,9081.7,,,36551.68
2022-01-19,SELL,QCOM,59,156.71,9245.79,-736.58,-7.38,45797.47
2022-01-19,SELL,AMAT,64,137.81,8819.99,-1039.38,-10.54,54617.47
2022-01-19,SELL,KLAC,24,376.39,9033.33,-962.63,-9.63,63650.8
2022-01-19,SELL,JPM,64,134.28,8594.18,-517.05,-5.67,72244.98
2022-01-19,BUY,BAC,216,41.71,9010.07,,,63234.91
2022-01-20,SELL,MU,106,83.21,8819.96,-1107.29,-11.15,72054.87
2022-01-20,SELL,WFC,174,49.44,8603.06,-478.64,-5.27,80657.93
2022-01-20,BUY,NFLX,176,50.83,8945.2,,,71712.73
2022-01-21,SELL,NFLX,176,39.75,6996.0,-1949.2,-21.79,78708.73
2022-01-25,BUY,MSFT,31,278.5,8633.57,,,70075.16
2022-01-26,BUY,TSLA,28,312.47,8749.16,,,61326.0
2022-01-26,BUY,INTC,182,47.94,8725.21,,,52600.78
2022-01-26,BUY,ABT,78,111.23,8675.63,,,43925.16
2022-01-27,SELL,INTC,182,44.56,8110.79,-614.43,-7.04,52035.94
2022-01-27,BUY,AAPL,55,155.8,8569.15,,,43466.79
2022-01-27,BUY,V,43,199.62,8583.58,,,34883.21
2022-01-27,BUY,MA,25,342.35,8558.76,,,26324.45
2022-01-28,BUY,INTC,198,44.27,8765.06,,,17559.39
2022-01-28,BUY,CAT,46,187.21,8611.43,,,8947.95
