date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,NKE,65,153.48,9976.2,,,90023.8
2022-01-03,BUY,COST,18,539.56,9712.11,,,80311.69
2022-01-03,BUY,AMGN,50,198.29,9914.28,,,70397.42
2022-01-03,BUY,MCD,41,243.72,9992.72,,,60404.69
2022-01-03,BUY,PG,68,146.32,9949.82,,,50454.87
2022-01-03,BUY,PEP,66,151.24,9981.87,,,40473.01
2022-01-03,BUY,VRTX,44,222.53,9791.32,,,30681.69
2022-01-03,BUY,SO,171,58.34,9975.72,,,20705.96
2022-01-03,BUY,JNJ,65,151.77,9865.05,,,10840.91
2022-01-03,BUY,KO,191,52.27,9983.12,,,857.79
2022-01-07,SELL,COST,18,510.49,9188.89,-523.21,-5.39,10046.68
2022-01-10,SELL,NKE,65,140.22,9114.1,-862.1,-8.64,19160.78
2022-01-11,SELL,MCD,41,237.86,9752.37,-240.35,-2.41,28913.16
2022-01-13,SELL,PG,68,142.18,9668.24,-281.57,-2.83,38581.4
2022-01-14,BUY,JPM,67,142.36,9538.32,,,29043.08
2022-01-14,BUY,WFC,185,52.19,9655.83,,,19387.25
2022-01-18,SELL,JNJ,65,147.84,9609.71,-255.34,-2.59,28996.97
2022-01-19,SELL,JPM,67,134.28,8997.03,-541.28,-5.67,37994.0
2022-01-19,BUY,BAC,227,41.71,9468.92,,,28525.08
2022-01-20,SELL,WFC,185,49.44,9146.93,-508.9,-5.27,37672.01
2022-01-20,BUY,NFLX,185,50.83,9402.63,,,28269.39
2022-01-21,SELL,NFLX,185,39.75,7353.75,-2048.88,-21.79,35623.14
2022-01-25,BUY,MSFT,31,278.5,8633.57,,,26989.57
2022-01-26,BUY,TSLA,28,312.47,8749.16,,,18240.41
2022-01-26,BUY,INTC,190,47.94,9108.74,,,9131.67
2022-01-26,BUY,ABT,82,111.23,9120.53,,,11.14
2022-01-27,SELL,INTC,190,44.56,8467.3,-641.43,-7.04,8478.44
2022-01-27,BUY,AAPL,54,155.8,8413.35,,,65.09
2022-02-01,SELL,AMGN,50,200.03,10001.31,87.03,0.88,10066.4
2022-02-01,SELL,PEP,66,150.68,9944.94,-36.93,-0.37,20011.34
2022-02-01,SELL,VRTX,44,245.66,10809.04,1017.72,10.39,30820.38
2022-02-01,SELL,SO,171,58.18,9949.38,-26.34,-0.26,40769.76
2022-02-01,SELL,KO,191,53.38,10195.24,212.12,2.12,50965.01
2022-02-01,SELL,BAC,227,42.16,9570.86,101.95,1.08,60535.87
2022-02-01,SELL,MSFT,31,298.07,9240.19,606.62,7.03,69776.06
2022-02-01,SELL,TSLA,28,310.42,8691.67,-57.49,-0.66,78467.73
2022-02-01,SELL,ABT,82,117.83,9662.12,541.59,5.94,88129.85
2022-02-01,BUY,XOM,140,69.66,9752.56,,,78377.29
2022-02-01,BUY,PG,67,144.26,9665.24,,,68712.05
2022-02-01,BUY,V,43,225.0,9674.9,,,59037.15
2022-02-01,BUY,MA,25,382.91,9572.78,,,49464.37
2022-02-01,BUY,JNJ,64,151.19,9675.91,,,39788.46
2022-02-01,BUY,WFC,195,49.98,9746.54,,,30041.92
2022-02-01,BUY,LMT,28,345.72,9680.14,,,20361.78
2022-02-01,BUY,INTC,215,45.4,9760.89,,,10600.9
2022-02-01,BUY,UPS,51,189.06,9642.31,,,958.58
2022-02-11,SELL,UPS,51,174.97,8923.39,-718.92,-7.46,9881.98
2022-02-11,BUY,PFE,241,40.97,9874.77,,,7.2
2022-02-18,SELL,JNJ,64,145.46,9309.48,-366.43,-3.79,9316.68
2022-02-18,SELL,INTC,215,42.09,9049.63,-711.26,-7.29,18366.31
2022-02-18,BUY,NVDA,389,23.6,9178.46,,,9187.85
2022-02-18,BUY,DE,26,349.62,9090.22,,,97.63
2022-02-22,SELL,PFE,241,38.35,9242.77,-632.0,-6.4,9340.4
2022-02-23,SELL,V,43,209.45,9006.26,-668.64,-6.91,18346.65
2022-02-23,SELL,MA,25,352.8,8820.02,-752.77,-7.86,27166.67
2022-02-23,SELL,DE,26,319.71,8312.47,-777.76,-8.56,35479.14
2022-02-24,SELL,PG,67,137.05,9182.39,-482.84,-5.0,44661.53
2022-03-01,SELL,WFC,195,45.41,8855.29,-891.25,-9.14,53516.82
2022-03-01,BUY,CRM,43,206.38,8874.44,,,44642.38
2022-03-23,BUY,NKE,71,124.24,8821.39,,,35820.99
2022-04-01,SELL,AAPL,54,170.79,9222.46,809.11,9.62,45043.44
2022-04-01,SELL,XOM,140,72.43,10140.05,387.48,3.97,55183.49
2022-04-01,SELL,NVDA,389,26.66,10372.08,1193.62,13.0,65555.57
2022-04-01,SELL,CRM,43,209.7,9017.19,142.75,1.61,74572.76
2022-04-01,BUY,MRK,126,73.96,9318.67,,,65254.09
2022-04-01,BUY,ABBV,66,140.61,9280.35,,,55973.75
2022-04-01,BUY,SO,145,64.08,9291.91,,,46681.83
2022-04-01,BUY,COST,16,548.83,8781.24,,,37900.59
2022-04-01,BUY,TMUS,74,125.72,9303.54,,,28597.05
2022-04-01,BUY,UNH,19,476.83,9059.72,,,19537.33
2022-04-01,BUY,D,130,71.55,9302.04,,,10235.29
2022-04-01,BUY,COP,107,86.87,9295.3,,,939.99
2022-04-11,SELL,NKE,71,116.75,8289.45,-531.94,-6.03,9229.44
2022-04-14,BUY,GS,31,290.81,9015.2,,,214.24
2022-04-25,SELL,COP,107,79.17,8470.94,-824.36,-8.87,8685.18
2022-04-25,BUY,KO,148,58.57,8667.64,,,17.54
2022-04-26,SELL,TMUS,74,120.15,8890.87,-412.67,-4.44,8908.41
2022-04-26,BUY,V,45,195.04,8777.02,,,131.39
2022-04-29,SELL,ABBV,66,128.03,8450.23,-830.12,-8.94,8581.61
2022-04-29,SELL,COST,16,507.84,8125.44,-655.8,-7.47,16707.05
2022-04-29,SELL,D,130,67.67,8796.7,-505.35,-5.43,25503.75
2022-04-29,BUY,AAPL,55,154.46,8495.47,,,17008.28
2022-04-29,BUY,META,42,198.91,8354.18,,,8654.1
2022-04-29,BUY,INTC,212,40.74,8636.08,,,18.02
2022-05-02,SELL,KO,148,56.34,8339.02,-328.62,-3.79,8357.04
2022-05-03,BUY,AMD,91,91.13,8292.83,,,64.21
