date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,MCD,41,243.72,9992.72,,,90007.28
2022-01-03,BUY,SO,171,58.34,9975.72,,,80031.55
2022-01-03,BUY,KO,191,52.27,9983.12,,,70048.43
2022-01-03,BUY,PEP,66,151.24,9981.87,,,60066.56
2022-01-03,BUY,PG,68,146.32,9949.82,,,50116.74
2022-01-03,BUY,COST,18,539.56,9712.11,,,40404.64
2022-01-03,BUY,JNJ,65,151.77,9865.05,,,30539.58
2022-01-03,BUY,NKE,65,153.48,9976.2,,,20563.39
2022-01-03,BUY,ABBV,86,115.85,9962.86,,,10600.52
2022-01-03,BUY,PLD,68,145.06,9864.27,,,736.26
2022-01-05,SELL,PLD,68,138.68,9430.57,-433.69,-4.4,10166.83
2022-01-07,SELL,COST,18,510.49,9188.89,-523.21,-5.39,19355.72
2022-01-07,SELL,NKE,65,146.3,9509.71,-466.49,-4.68,28865.43
2022-01-11,SELL,MCD,41,237.86,9752.37,-240.35,-2.41,38617.81
2022-01-11,SELL,PG,68,142.51,9690.84,-258.98,-2.6,48308.65
2022-01-14,SELL,JNJ,65,148.5,9652.27,-212.78,-2.16,57960.92
2022-02-01,BUY,ABT,81,117.83,9544.29,,,48416.63
2022-02-01,BUY,GOOGL,70,136.52,9556.1,,,38860.53
2022-02-01,BUY,PG,66,144.26,9520.98,,,29339.55
2022-02-01,BUY,BAC,229,42.16,9655.19,,,19684.36
2022-02-01,BUY,JNJ,63,151.19,9524.72,,,10159.64
2022-02-01,BUY,MCD,41,235.02,9635.92,,,523.72
2022-02-10,SELL,SO,171,56.44,9650.86,-324.87,-3.26,10174.58
2022-02-14,SELL,PEP,66,145.75,9619.48,-362.38,-3.63,19794.06
2022-02-14,SELL,JNJ,63,146.51,9230.42,-294.3,-3.09,29024.48
2022-02-17,SELL,ABT,81,111.7,9047.57,-496.72,-5.2,38072.05
2022-02-17,SELL,MCD,41,227.71,9336.04,-299.88,-3.11,47408.09
2022-02-18,SELL,GOOGL,70,129.33,9053.39,-502.71,-5.26,56461.47
2022-02-23,SELL,BAC,229,40.22,9210.89,-444.29,-4.6,65672.37
2022-02-24,SELL,PG,66,137.05,9045.34,-475.63,-5.0,74717.71
2022-03-01,BUY,SO,168,55.42,9310.41,,,65407.3
2022-03-01,BUY,D,143,65.17,9319.52,,,56087.78
2022-03-01,BUY,PEP,65,141.88,9221.97,,,46865.82
2022-03-01,BUY,AAPL,58,159.9,9274.25,,,37591.57
2022-03-01,BUY,XOM,135,68.99,9313.24,,,28278.33
2022-03-01,BUY,PG,67,138.45,9276.18,,,19002.15
2022-03-01,BUY,DE,27,339.73,9172.58,,,9829.57
2022-03-01,BUY,UNH,21,441.72,9276.03,,,553.54
