date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,COST,18,539.56,9712.11,,,90287.89
2022-01-03,BUY,NKE,65,153.48,9976.2,,,80311.69
2022-01-03,BUY,DE,30,331.64,9949.08,,,70362.62
2022-01-03,BUY,ADBE,17,564.37,9594.29,,,60768.33
2022-01-03,BUY,CRM,39,252.39,9843.34,,,50924.98
2022-01-03,BUY,TSLA,25,399.93,9998.17,,,40926.82
2022-01-05,SELL,ADBE,17,514.43,8745.31,-848.98,-8.85,49672.13
2022-01-05,SELL,CRM,39,224.94,8772.54,-1070.8,-10.88,58444.67
2022-01-06,SELL,TSLA,25,354.9,8872.5,-1125.67,-11.26,67317.17
2022-01-07,SELL,COST,18,510.49,9188.89,-523.21,-5.39,76506.06
2022-01-10,SELL,NKE,65,140.22,9114.1,-862.1,-8.64,85620.16
2022-01-14,BUY,JPM,66,142.36,9395.95,,,76224.21
2022-01-14,BUY,WFC,182,52.19,9499.25,,,66724.96
2022-01-19,SELL,JPM,66,134.28,8862.75,-533.21,-5.67,75587.71
2022-01-19,BUY,BAC,226,41.71,9427.2,,,66160.51
2022-01-20,SELL,WFC,182,49.44,8998.6,-500.65,-5.27,75159.11
2022-01-20,BUY,NFLX,184,50.83,9351.8,,,65807.31
2022-01-21,SELL,NFLX,184,39.75,7314.0,-2037.8,-21.79,73121.31
2022-01-24,BUY,SHOP,97,93.85,9103.35,,,64017.95
2022-01-25,BUY,MSFT,32,278.5,8912.08,,,55105.88
2022-01-25,BUY,AXP,55,164.68,9057.63,,,46048.25
2022-01-26,BUY,TSLA,29,312.47,9061.63,,,36986.62
2022-01-26,BUY,INTC,192,47.94,9204.62,,,27782.0
2022-01-26,BUY,ABT,83,111.23,9231.76,,,18550.25
2022-01-27,SELL,INTC,192,44.56,8556.43,-648.19,-7.04,27106.68
2022-01-27,BUY,AAPL,57,155.8,8880.76,,,18225.92
2022-01-27,BUY,V,45,199.62,8982.82,,,9243.1
2022-01-27,BUY,MA,26,342.35,8901.11,,,341.99
2022-02-01,SELL,DE,30,357.94,10738.22,789.14,7.93,11080.21
2022-02-01,SELL,BAC,226,42.16,9528.7,101.5,1.08,20608.91
2022-02-01,SELL,SHOP,97,98.42,9546.74,443.39,4.87,30155.65
2022-02-01,SELL,AXP,55,174.61,9603.35,545.73,6.03,39759.01
2022-02-01,SELL,TSLA,29,310.42,9002.08,-59.55,-0.66,48761.09
2022-02-01,SELL,ABT,83,117.83,9779.95,548.2,5.94,58541.04
2022-02-01,BUY,UPS,51,189.06,9642.31,,,48898.73
