date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,CRM,39,252.39,9843.34,,,90156.66
2022-01-03,BUY,ADBE,17,564.37,9594.29,,,80562.37
2022-01-03,BUY,TMUS,90,110.02,9902.02,,,70660.35
2022-01-03,BUY,DE,30,331.64,9949.08,,,60711.27
2022-01-03,BUY,NKE,65,153.48,9976.2,,,50735.07
2022-01-03,BUY,HON,56,178.14,9975.6,,,40759.47
2022-01-03,BUY,DIS,65,153.15,9954.97,,,30804.5
2022-01-03,BUY,COST,18,539.56,9712.11,,,21092.4
2022-01-03,BUY,CHTR,15,647.58,9713.7,,,11378.7
2022-01-03,BUY,LULU,25,387.56,9689.0,,,1689.7
2022-01-05,SELL,CRM,39,224.94,8772.54,-1070.8,-10.88,10462.24
2022-01-10,SELL,NKE,65,140.22,9114.1,-862.1,-8.64,19576.34
2022-01-10,SELL,COST,18,493.95,8891.04,-821.07,-8.45,28467.38
2022-01-11,SELL,LULU,25,346.75,8668.75,-1020.25,-10.53,37136.13
2022-01-18,SELL,ADBE,17,513.34,8726.78,-867.51,-9.04,45862.91
2022-01-18,SELL,CHTR,15,582.75,8741.25,-972.45,-10.01,54604.16
2022-01-20,SELL,TMUS,90,100.05,9004.67,-897.35,-9.06,63608.83
2022-01-21,SELL,DIS,65,134.22,8724.25,-1230.72,-12.36,72333.08
2022-02-11,SELL,HON,56,161.07,9020.01,-955.6,-9.58,81353.08
2022-04-01,SELL,DE,30,395.81,11874.4,1925.32,19.35,93227.49
2022-04-01,BUY,HD,34,272.68,9271.11,,,83956.38
2022-04-01,BUY,NKE,74,124.73,9230.07,,,74726.3
2022-04-01,BUY,MMM,86,107.96,9284.21,,,65442.09
2022-04-01,BUY,CHTR,16,561.68,8986.88,,,56455.21
2022-04-01,BUY,CMCSA,237,39.31,9317.32,,,47137.9
2022-04-01,BUY,CRM,44,209.7,9226.89,,,37911.01
2022-04-01,BUY,INTC,207,44.96,9306.78,,,28604.22
2022-04-01,BUY,DIS,69,133.85,9235.51,,,19368.71
2022-04-01,BUY,GS,31,298.57,9255.69,,,10113.02
2022-04-01,BUY,SBUX,112,82.98,9294.28,,,818.75
2022-04-08,SELL,SBUX,112,73.94,8281.45,-1012.83,-10.9,9100.19
2022-04-14,SELL,CRM,44,187.14,8233.99,-992.9,-10.76,17334.19
2022-04-20,SELL,DIS,69,121.7,8397.57,-837.94,-9.07,25731.76
2022-04-25,SELL,CHTR,16,506.97,8111.52,-875.36,-9.74,33843.28
2022-04-26,SELL,NKE,74,112.59,8331.4,-898.67,-9.74,42174.68
2022-04-28,SELL,CMCSA,237,34.56,8191.3,-1126.02,-12.09,50365.97
2022-04-29,SELL,INTC,207,40.74,8432.4,-874.38,-9.4,58798.37
2022-06-10,SELL,GS,31,261.1,8094.11,-1161.58,-12.55,66892.48
2022-06-13,SELL,MMM,86,99.34,8543.54,-740.67,-7.98,75436.03
2022-06-16,SELL,HD,34,248.56,8451.06,-820.05,-8.85,83887.08
2022-07-01,BUY,MMM,89,93.6,8330.67,,,75556.41
2022-07-01,BUY,HD,33,253.67,8371.07,,,67185.35
2022-07-01,BUY,HON,55,152.45,8384.58,,,58800.77
2022-07-01,BUY,TXN,63,132.81,8366.87,,,50433.9
2022-07-01,BUY,CAT,50,166.72,8335.87,,,42098.03
2022-07-01,BUY,EMR,112,74.57,8352.17,,,33745.86
2022-07-01,BUY,CMCSA,251,33.39,8381.84,,,25364.02
2022-07-01,BUY,NKE,88,94.75,8338.33,,,17025.69
2022-07-01,BUY,AVGO,187,44.84,8384.71,,,8640.98
2022-07-01,BUY,JPM,80,103.6,8287.72,,,353.26
2022-08-26,SELL,CMCSA,251,30.71,7707.44,-674.4,-8.05,8060.7
2022-09-22,SELL,MMM,89,84.0,7476.23,-854.44,-10.26,15536.93
2022-09-26,SELL,EMR,112,68.27,7646.75,-705.42,-8.45,23183.68
2022-09-30,SELL,NKE,88,78.06,6869.67,-1468.67,-17.61,30053.35
2022-10-03,SELL,HD,33,259.55,8565.17,194.1,2.32,38618.52
2022-10-03,SELL,TXN,63,143.85,9062.67,695.8,8.32,47681.19
2022-10-03,SELL,CAT,50,161.23,8061.54,-274.33,-3.29,55742.73
2022-10-03,SELL,AVGO,187,43.22,8082.38,-302.33,-3.61,63825.11
2022-10-03,SELL,JPM,80,98.72,7897.7,-390.01,-4.71,71722.81
2022-10-03,BUY,MA,28,284.53,7966.87,,,63755.95
2022-10-03,BUY,AMT,41,193.39,7929.14,,,55826.8
2022-10-03,BUY,V,45,176.83,7957.34,,,47869.47
2022-10-03,BUY,ABT,85,92.97,7902.32,,,39967.15
2022-10-03,BUY,UPS,58,136.81,7934.76,,,32032.38
2022-10-03,BUY,FIS,114,69.6,7934.93,,,24097.45
2022-10-03,BUY,PG,67,117.46,7870.01,,,16227.43
2022-10-03,BUY,PFE,220,36.19,7960.8,,,8266.64
2022-10-03,BUY,D,133,59.89,7964.78,,,301.85
2022-10-07,SELL,D,133,54.24,7214.13,-750.65,-9.42,7515.98
2022-10-10,SELL,AMT,41,170.06,6972.27,-956.87,-12.07,14488.25
