date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,NKE,63,153.48,9669.24,,,90330.76
2022-01-03,BUY,WFC,214,45.6,9759.32,,,80571.44
2022-01-03,BUY,AVGO,159,61.32,9749.26,,,70822.18
2022-01-03,BUY,PLD,67,145.06,9719.2,,,61102.98
2022-01-03,BUY,AMD,65,150.24,9765.6,,,51337.38
2022-01-03,BUY,BAC,236,41.48,9789.22,,,41548.16
2022-01-03,BUY,KLAC,23,416.5,9579.46,,,31968.7
2022-01-03,BUY,ON,139,70.17,9753.63,,,22215.07
2022-01-03,BUY,CVX,97,100.5,9748.43,,,12466.63
2022-01-03,BUY,TSLA,24,399.93,9598.24,,,2868.39
2022-01-07,SELL,PLD,67,135.24,9060.84,-658.36,-6.77,11929.24
2022-01-07,SELL,AMD,65,132.0,8580.0,-1185.6,-12.14,20509.24
2022-01-07,SELL,TSLA,24,342.32,8215.68,-1382.56,-14.4,28724.92
2022-01-10,SELL,NKE,63,140.22,8833.67,-835.57,-8.64,37558.59
2022-01-13,SELL,AVGO,159,55.2,8777.3,-971.96,-9.97,46335.89
2022-01-14,BUY,JPM,65,142.36,9253.59,,,37082.3
2022-01-18,SELL,ON,139,63.03,8761.17,-992.46,-10.18,45843.47
2022-01-19,SELL,JPM,65,134.28,8728.46,-525.13,-5.67,54571.93
2022-01-20,SELL,KLAC,23,366.9,8438.75,-1140.71,-11.91,63010.68
2022-01-20,BUY,NFLX,177,50.83,8996.03,,,54014.66
2022-01-21,SELL,NFLX,177,39.75,7035.75,-1960.28,-21.79,61050.41
2022-01-24,BUY,SHOP,92,93.85,8634.11,,,52416.3
2022-01-25,BUY,MSFT,31,278.5,8633.57,,,43782.73
2022-01-25,BUY,AXP,53,164.68,8728.26,,,35054.47
2022-01-26,BUY,TSLA,28,312.47,8749.16,,,26305.31
2022-01-26,BUY,INTC,182,47.94,8725.21,,,17580.1
2022-01-26,BUY,ABT,79,111.23,8786.85,,,8793.24
2022-01-27,BUY,AAPL,56,155.8,8724.96,,,68.29
2022-01-28,SELL,CVX,97,110.06,10676.19,927.76,9.52,10744.48
2022-01-28,BUY,CAT,57,187.21,10670.69,,,73.79
2022-02-01,SELL,SHOP,92,98.42,9054.64,420.53,4.87,9128.43
2022-02-01,SELL,AXP,53,174.61,9254.14,525.88,6.03,18382.57
2022-02-01,SELL,TSLA,28,310.42,8691.67,-57.49,-0.66,27074.24
2022-02-01,SELL,INTC,182,45.4,8262.7,-462.51,-5.3,35336.94
2022-02-01,SELL,ABT,79,117.83,9308.63,521.78,5.94,44645.57
2022-02-01,SELL,CAT,57,191.1,10892.95,222.26,2.08,55538.52
2022-02-01,BUY,UPS,47,189.06,8886.05,,,46652.47
2022-02-01,BUY,GOOGL,65,136.52,8873.52,,,37778.95
2022-02-01,BUY,MS,98,90.86,8904.72,,,28874.24
2022-02-01,BUY,UNH,20,434.44,8688.88,,,20185.35
2022-02-01,BUY,SLB,248,35.91,8905.43,,,11279.92
2022-02-01,BUY,XOM,128,69.66,8916.63,,,2363.29
2022-02-17,SELL,UPS,47,172.69,8116.43,-769.62,-8.66,10479.73
2022-02-17,SELL,MS,98,84.05,8236.54,-668.18,-7.5,18716.27
2022-02-17,BUY,NVDA,382,24.46,9343.07,,,9373.2
2022-02-17,BUY,DASH,44,105.03,4621.32,,,4751.88
2022-03-01,SELL,BAC,236,38.15,9002.78,-786.44,-8.03,13754.66
2022-03-01,BUY,CRM,66,206.38,13621.24,,,133.42
2022-03-07,SELL,GOOGL,65,125.34,8147.27,-726.26,-8.18,8280.68
2022-03-07,SELL,DASH,44,79.86,3513.84,-1107.48,-23.96,11794.52
2022-03-08,BUY,CVX,40,145.21,5808.51,,,5986.01
2022-03-09,BUY,OXY,55,54.13,2977.23,,,3008.78
2022-04-01,SELL,WFC,214,43.98,9412.79,-346.53,-3.55,12421.57
2022-04-01,SELL,MSFT,31,299.33,9279.09,645.51,7.48,21700.66
2022-04-01,SELL,AAPL,56,170.79,9564.03,839.07,9.62,31264.69
2022-04-01,SELL,SLB,248,38.0,9423.67,518.24,5.82,40688.35
2022-04-01,SELL,XOM,128,72.43,9270.9,354.27,3.97,49959.25
2022-04-01,SELL,CRM,66,209.7,13840.34,219.1,1.61,63799.59
2022-04-01,SELL,CVX,40,139.84,5593.59,-214.93,-3.7,69393.17
2022-04-01,BUY,PLD,65,146.6,9529.24,,,59863.93
2022-04-01,BUY,REGN,13,690.17,8972.18,,,50891.75
2022-04-01,BUY,DDOG,62,153.5,9517.0,,,41374.75
2022-04-01,BUY,AVGO,165,58.35,9627.55,,,31747.2
2022-04-01,BUY,MRVL,137,69.93,9580.44,,,22166.76
2022-04-01,BUY,ON,161,59.63,9600.43,,,12566.33
2022-04-01,BUY,LLY,34,282.65,9610.18,,,2956.15
2022-04-11,SELL,AVGO,165,54.03,8915.52,-712.03,-7.4,11871.67
2022-04-11,SELL,MRVL,137,59.81,8193.97,-1386.47,-14.47,20065.65
2022-04-11,SELL,ON,161,52.33,8425.13,-1175.3,-12.24,28490.78
2022-04-14,BUY,GS,32,290.81,9306.01,,,19184.76
2022-04-14,BUY,WFC,229,41.85,9584.55,,,9600.21
2022-04-14,BUY,MS,129,74.09,9557.63,,,42.58
2022-04-21,SELL,NVDA,382,20.15,7695.9,-1647.17,-17.63,7738.48
2022-04-21,SELL,DDOG,62,121.82,7552.84,-1964.16,-20.64,15291.32
2022-04-21,BUY,TSLA,22,336.26,7397.72,,,7893.6
2022-04-21,BUY,NFLX,361,21.82,7877.74,,,15.86
2022-05-02,SELL,REGN,13,647.64,8419.38,-552.8,-6.16,8435.24
2022-05-03,SELL,PLD,65,134.72,8756.79,-772.45,-8.11,17192.03
2022-05-03,BUY,AMD,94,91.13,8566.22,,,8625.81
2022-05-04,BUY,SBUX,58,74.05,4294.92,,,4330.89
2022-05-09,SELL,TSLA,22,262.37,5772.14,-1625.58,-21.97,10103.03
2022-05-09,SELL,SBUX,58,66.66,3866.16,-428.75,-9.98,13969.2
2022-05-11,SELL,NFLX,361,16.64,6005.96,-1871.79,-23.76,19975.15
2022-05-12,SELL,WFC,229,37.96,8693.01,-891.54,-9.3,28668.16
2022-05-12,BUY,COIN,122,58.5,7137.0,,,21531.16
2022-05-17,BUY,HD,26,271.83,7067.6,,,14463.56
2022-05-20,BUY,PANW,90,79.78,7180.2,,,7283.36
2022-06-01,BUY,CRM,20,173.96,3479.13,,,3804.23
2022-06-01,SELL,UNH,20,458.19,9163.71,474.83,5.46,12967.94
2022-06-01,SELL,GS,32,292.79,9369.12,63.11,0.68,22337.07
2022-06-01,SELL,MS,129,74.94,9667.0,109.38,1.14,32004.07
2022-06-01,SELL,AMD,94,101.22,9514.68,948.46,11.07,41518.75
2022-06-01,SELL,COIN,122,68.63,8372.86,1235.86,17.32,49891.61
2022-06-01,SELL,HD,26,270.13,7023.38,-44.22,-0.63,56914.99
2022-06-01,SELL,CRM,20,173.96,3479.13,0.0,0.0,60394.11
2022-06-01,BUY,COST,17,436.47,7419.92,,,52974.19
2022-06-01,BUY,CVX,49,151.38,7417.54,,,45556.65
2022-06-01,BUY,PFE,175,42.6,7455.3,,,38101.35
2022-06-01,BUY,VRTX,27,269.41,7274.07,,,30827.28
2022-06-01,BUY,REGN,11,654.5,7199.48,,,23627.79
2022-06-01,BUY,ON,125,59.27,7408.75,,,16219.04
2022-06-01,BUY,AVGO,139,53.38,7420.23,,,8798.81
2022-06-08,SELL,REGN,11,603.68,6640.5,-558.98,-7.76,15439.31
2022-06-08,BUY,ROKU,75,101.88,7641.0,,,7798.31
2022-06-13,SELL,PFE,175,38.97,6820.39,-634.92,-8.52,14618.7
2022-06-13,SELL,VRTX,27,245.39,6625.53,-648.54,-8.92,21244.23
2022-06-13,SELL,AVGO,139,48.17,6695.83,-724.4,-9.76,27940.05
2022-06-13,SELL,ROKU,75,73.25,5493.75,-2147.25,-28.1,33433.8
2022-06-15,SELL,CVX,49,141.02,6910.19,-507.35,-6.84,40344.0
2022-06-17,BUY,CHTR,18,441.96,7955.28,,,32388.72
2022-06-22,SELL,ON,125,51.01,6376.25,-1032.5,-13.94,38764.97
2022-06-24,BUY,ABNB,74,103.51,7659.74,,,31105.23
2022-06-27,BUY,NKE,75,103.48,7761.14,,,23344.09
2022-07-01,SELL,OXY,55,57.01,3135.36,158.13,5.31,26479.45
2022-07-01,SELL,PANW,90,84.71,7623.75,443.55,6.18,34103.2
2022-07-01,SELL,COST,17,463.94,7887.05,467.12,6.3,41990.25
